addr	symbol	size	class	source	status	fuzzy	alternatives
0010001c	func_0010001c	524	mmi	stub	compile	0.00	m2c:link:0.0
00100228	func_00100228	116	loop	ghidra	near	52.71	m2c:near:0.0;lift:compile:0.0
001002a0	func_001002a0	8	straight	lift	near	28.00	m2c:near:28.0;ghidra:near:14.0
001002b0	func_001002b0	132	loop	lift	near	94.03	m2c:near:82.05;ghidra:near:27.76
00100338	func_00100338	20	straight	lift	near	0.00	ghidra:near:0.0;m2c:near:0.0
001003b0	func_001003b0	20	straight	lift	near	0.00	ghidra:near:0.0;m2c:near:0.0
00100468	func_00100468	84	loop	corpus	near	93.81	lift:near:72.14;ghidra:near:64.04;m2c:near:61.04
001004c0	func_001004c0	340	switch	ghidra	near	37.55	m2c:compile:0.0
00100700	_Z16wtarget_00100700jjjj	108	branchy	lift	near	89.56	m2c:near:59.14;ghidra:near:54.25
001007c0	_Z13func_001007c0Pv	272	loop	ghidra	near	0.00	m2c:compile:0.0
00100920	func_00100920	128	branchy	m2c	near	74.84	lift:near:46.38;ghidra:near:11.11
001009a0	func_001009a0	212	loop	ghidra	near	20.18	m2c:near:13.64
00100aa0	func_00100aa0	208	branchy	lift	near	86.87	m2c:near:66.17;ghidra:near:56.37
00100b70	func_00100b70	208	branchy	ghidra	near	88.67	lift:near:72.33;m2c:near:68.51
00100c40	func_00100c40	648	loop	ghidra	near	21.30	m2c:compile:0.0
00100ec8	func_00100ec8	388	loop	lift	near	62.23	m2c:near:59.96;ghidra:near:48.15
00101050	func_00101050	400	loop	lift	near	66.69	m2c:near:57.11;ghidra:near:43.72
001011e0	func_001011e0	424	loop	lift	near	70.69	m2c:near:69.96;ghidra:near:52.47
00101388	func_00101388	780	loop	m2c	near	51.53	lift:near:40.54;ghidra:near:0.0
00101698	func_00101698	432	loop	lift	near	28.95	m2c:near:28.78;ghidra:near:17.58
00101848	func_00101848	848	loop	ghidra	near	24.56	lift:compile:0.0;m2c:compile:0.0
00101b98	func_00101b98	328	loop	ghidra	near	56.76	m2c:compile:0.0
00101ce0	func_00101ce0	88	loop	lift	near	85.41	ghidra:near:77.14;m2c:compile:0.0
00101d38	func_00101d38	20	straight	lift	near	0.00	ghidra:near:0.0;m2c:near:0.0
00102080	func_00102080	172	loop	lift	near	94.27	ghidra:near:21.19;e3:near:0.0;m2c:near:0.0
00102180	func_00102180	76	loop	lift	near	61.47	ghidra:near:57.79;e3:near:41.05;m2c:near:23.32
00102210	func_00102210	64	loop	lift	near	51.75	ghidra:near:43.0;m2c:near:12.44;e3:near:0.0
00102350	func_00102350	244	float	lift	near	71.51	ghidra:near:59.87;m2c:compile:0.0
00102470	func_00102470	52	float	m2c	near	38.20	lift:near:24.67;ghidra:near:18.48
001024b0	func_001024b0	84	straight	ghidra	near	87.43	e3:near:62.27;m2c:compile:0.0
00102508	_ZN12TASK_MANAGER6CreateEPvj	32	straight	lift	exact	100.00	twins:exact:100.0;corpus:exact:100.0;ghidra:exact:100.0;m2c:exact:100.0
00102528	func_00102528	204	loop	lift	near	77.61	m2c:near:40.9;e3:near:35.24;ghidra:near:0.0
001025f8	_Z13func_001025f8Pv	116	branchy	lift	near	85.83	ghidra:near:85.83;m2c:near:82.31
00102688	_Z16wtarget_00102688jjjj	168	loop	m2c	near	86.93	ghidra:near:73.7;lift:near:60.5
00102750	func_00102750	56	straight	lift	near	98.57	m2c:near:98.57;ghidra:near:83.12;e3:near:81.71
00102788	_ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE	140	straight	ghidra	near	90.14	e3:near:50.98;m2c:compile:0.0
00102818	_ZN12TASK_MANAGER13create_threadEiiPFvP4TASKEi	152	straight	ghidra	near	84.87	e3:near:60.59;m2c:compile:0.0
001028b0	_Z16wtarget_001028b0jjjj	312	loop	m2c	near	92.37	lift:near:79.6;ghidra:near:79.03
00102a08	func_00102a08	48	loop	lift	exact	100.00	m2c:near:66.5;ghidra:near:43.75
00102a38	func_00102a38	56	loop	lift	exact	100.00	ghidra:near:23.57;m2c:near:22.0
00102bd8	func_00102bd8	60	straight	m2c	near	79.00	lift:near:52.93;ghidra:near:52.93
00102c48	func_00102c48	56	straight	lift	exact	100.00	ghidra:exact:100.0;e3:near:99.93;corpus:near:69.64;m2c:near:26.64
00102c90	_Z16wtarget_00102c90jjjj	92	branchy	lift	near	61.20	m2c:near:59.03;ghidra:near:56.65
00102ed8	func_00102ed8	48	straight	lift	exact	100.00	twins:exact:100.0;ghidra:near:98.33;m2c:near:71.46
00102f38	func_00102f38	56	straight	lift	exact	100.00	ghidra:exact:100.0;corpus:near:69.64;m2c:near:26.64
00103080	_Z16wtarget_00103080jjjj	92	branchy	lift	near	61.20	m2c:near:59.03;ghidra:near:56.65
001031d0	func_001031d0	456	branchy	lift	near	95.92	m2c:near:76.85;ghidra:near:13.93
001033d8	_Z13func_001033d8Pv	80	loop	ghidra	near	44.00	lift:near:38.71;m2c:near:27.6
00103428	func_00103428	88	loop	lift	near	25.23	m2c:near:11.48;ghidra:near:0.0
00103480	func_00103480	124	straight	lift	near	96.71	ghidra:near:92.84;m2c:near:72.79
00103590	_ZN4MENU15CreateAllocatorEiPN2kn15MemoryAllocatorE	316	branchy	m2c	near	77.51	ghidra:near:75.33;lift:near:74.9;e3:near:0.37
001036d0	func_001036d0	120	branchy	lift	near	82.45	ghidra:near:58.31;m2c:near:54.71;e3:near:0.0
00103748	_ZN4MENU16DestoryAllocatorEv	108	branchy	lift	exact	100.00	ghidra:near:95.56;e3:near:89.81;m2c:near:47.47
001037b8	func_001037b8	64	straight	lift	exact	100.00	e3:exact:100.0;ghidra:near:91.81;m2c:near:70.94
001037f8	_ZN4MENU13pauseExecTaskEP4TASK	512	branchy	ghidra	near	86.48	lift:near:32.7;m2c:near:32.55
001039f8	func_001039f8	68	branchy	lift	exact	100.00	m2c:near:79.84;ghidra:near:25.0;e3:near:0.0
00103b78	func_00103b78	56	straight	lift	exact	100.00	ghidra:exact:100.0;corpus:near:69.64;m2c:near:26.64
00103ca0	func_00103ca0	392	branchy	m2c	near	38.73	ghidra:near:0.0
00103ec0	_Z16wtarget_00103ec0jjjj	136	branchy	lift	near	43.92	m2c:near:37.78;ghidra:near:27.86
00104108	func_00104108	132	branchy	lift	near	85.91	ghidra:near:0.0;m2c:compile:0.0
001041c0	func_001041c0	32	branchy	lift	exact	100.00	ghidra:exact:100.0;m2c:near:63.56;e3:near:17.5
00104298	_Z16wtarget_00104298jjjj	92	branchy	lift	near	61.20	m2c:near:59.03;ghidra:near:56.65
001043e8	D_001043e8	264	loop	lift	near	94.63	ghidra:near:69.1;m2c:link:0.0
001044f0	D_001044f0	112	straight	permute	exact	100.00	lift:near:99.57;ghidra:near:97.11;e3:near:85.54;m2c:near:70.06
001045b8	func_001045b8	56	straight	lift	exact	100.00	ghidra:exact:100.0;corpus:near:69.64;m2c:near:26.64
00104640	_Z16wtarget_00104640jjjj	652	float	lift	near	52.10	m2c:near:51.99;ghidra:near:45.23
00104a48	func_00104a48	628	loop	ghidra	near	59.58	m2c:near:37.27
00104cf0	func_00104cf0	60	branchy	lift	exact	100.00	ghidra:near:70.0;m2c:near:45.67
00104d30	func_00104d30	108	straight	ghidra	near	43.82	m2c:near:33.43
00104da0	_ZN8GUMIMENU12CreateThreadEiiPFvP4TASKEi	60	straight	lift	exact	100.00	ghidra:near:69.33;m2c:near:63.38;e3:near:45.2
00104e18	func_00104e18	128	straight	lift	exact	100.00	m2c:near:80.35;ghidra:near:73.56
00104f58	_ZN4AREA7MapJumpERS_jibi	352	branchy	m2c	near	55.52	ghidra:near:3.85;e3:near:0.0
001050d8	_ZN4AREA5AllocEj	52	straight	twins	exact	100.00	ghidra:near:84.62;e3:near:42.15;m2c:compile:0.0
001051b8	func_001051b8	236	branchy	m2c	near	61.60	ghidra:near:54.63;lift:near:32.93
001052a8	func_001052a8	88	straight	lift	near	49.82	m2c:near:35.82;ghidra:near:27.95
00105370	_ZN4AREA15CreateAllocatorEjj	80	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:near:85.62;e3:near:41.6
001053c0	_ZN4AREA16DestroyAllocatorEv	60	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:near:93.5;e3:near:43.79
00105400	_Z16wtarget_00105400jjjj	300	branchy	lift	near	60.77	ghidra:near:35.05;m2c:compile:0.0
00105550	func_00105550	104	float	ghidra	near	0.00	m2c:compile:0.0
001055b8	func_001055b8	104	float	lift	near	0.00	ghidra:near:0.0;m2c:near:0.0
00105620	_Z16wtarget_00105620jjjj	200	float	ghidra	near	0.00	m2c:compile:0.0
001056e8	func_001056e8	40	straight	lift	exact	100.00	m2c:near:70.18;ghidra:near:68.9
00105748	func_00105748	280	loop	permute	exact	100.00	lift:near:99.79;m2c:near:87.53;ghidra:near:78.5
001058f8	_Z13func_001058f8ii	216	branchy	lift	near	81.91	m2c:near:64.53;ghidra:near:57.47
00105af8	func_00105af8	96	branchy	lift	near	49.08	m2c:near:43.77;ghidra:near:26.71
00105b58	func_00105b58	212	loop	lift	near	98.87	m2c:near:83.21;ghidra:near:71.61
00105c68	D_00105c68	160	loop	lift	near	94.33	ghidra:near:82.28;e3:near:53.65;m2c:link:0.0
00105da8	func_00105da8	56	straight	lift	exact	100.00	ghidra:exact:100.0;corpus:near:69.64;m2c:near:26.64
00105de0	func_00105de0	104	branchy	permute	exact	100.00	lift:near:91.15;ghidra:near:80.89;m2c:near:72.21
00105f00	func_00105f00	128	loop	lift	exact	100.00	m2c:near:75.64;ghidra:near:61.33
00105fc8	func_00105fc8	124	straight	lift	near	63.59	ghidra:near:34.58;m2c:compile:0.0
00106048	func_00106048	108	straight	lift	near	53.93	ghidra:near:27.33;m2c:compile:0.0
001060b8	func_001060b8	40	straight	ghidra	near	72.80	m2c:near:72.8;lift:near:30.36
001060e0	func_001060e0	40	straight	ghidra	near	72.80	m2c:near:72.8;e3:near:37.89;lift:near:30.36
001064a8	_Z13func_001064a8Pv	120	float	lift	near	71.33	m2c:near:53.4;ghidra:near:19.03
00106558	func_00106558	76	float	m2c	near	78.68	ghidra:near:55.93;lift:near:0.0
001065a8	_Z13func_001065a8jjjjjjjj	48	float	ghidra	near	70.94	m2c:near:59.74;lift:near:0.0
001065d8	func_001065d8	476	float	lift	near	61.41	m2c:near:13.15;ghidra:near:4.88
001067b8	func_001067b8	476	float	lift	near	61.41	m2c:near:13.15;ghidra:near:6.07
001069b8	func_001069b8	24	straight	permute	exact	100.00	ghidra:exact:100.0;corpus:near:96.17;lift:near:95.83;m2c:near:71.25
00106a18	_ZN2kn13getProjectionEb	72	branchy	e3	near	69.00	m2c:near:61.68;lift:near:57.17;ghidra:near:32.67
00106a60	func_00106a60	80	branchy	e3	near	99.80	lift:near:50.9;m2c:near:44.43;ghidra:near:29.4
00106af0	func_00106af0	280	float	ghidra	near	54.92	e3:near:45.18;m2c:near:13.09;lift:near:2.99
00106c08	_ZN2kn10Projection10calcMatrixEv	308	vu0	lift	near	64.04	ghidra:near:0.0;m2c:near:0.0
00106d40	_ZN2kn10Projection3setEfffffffffff	168	float	ghidra	near	9.84	m2c:compile:0.0
00106de8	_ZN2kn10Projection6setFOVEfNS0_4WorHE	324	float	m2c	near	63.21	lift:near:44.13;ghidra:near:33.42;e3:near:12.57
00106f40	func_00106f40	168	float	lift	near	62.33	m2c:near:33.14;ghidra:near:31.93;e3:near:14.76
00106fe8	func_00106fe8	180	float	m2c	near	85.71	lift:near:43.5;ghidra:near:28.5;e3:near:4.16
00107118	func_00107118	364	vu0	ghidra	near	0.00	m2c:near:0.0
001072d0	_ZN2kn6Camera6lookAtERKNS_7FVectorES3_	48	branchy	lift	near	75.25	m2c:near:40.42;ghidra:near:36.09;e3:near:31.26
00107300	func_00107300	48	float	lift	near	74.83	m2c:near:34.91;e3:near:29.7;ghidra:near:14.57
00107368	_ZNK2kn6Camera11getPositionERNS_7FVectorE	28	branchy	lift	near	97.00	m2c:near:81.43;ghidra:near:43.85;e3:near:37.78
00107388	func_00107388	240	vu0	ghidra	near	0.00	m2c:near:0.0
00107478	func_00107478	28	branchy	lift	near	97.00	m2c:near:81.43;ghidra:near:43.85;e3:near:37.78
001074c0	func_001074c0	392	vu0	lift	near	46.95	ghidra:near:0.0;m2c:near:0.0
00107700	func_00107700	392	vu0	lift	near	82.44	ghidra:near:0.0;m2c:near:0.0
00107888	_ZN2kn11camera_taskEP4TASK	516	float	lift	near	49.01	m2c:near:24.38;ghidra:near:5.07
00107a90	func_00107a90	656	float	lift	near	97.82	m2c:near:24.85;ghidra:near:1.12
00107d20	_Z13func_00107d20ii	776	loop	lift	near	83.44	ghidra:near:58.2;m2c:compile:0.0
00108080	func_00108080	328	mmi	m2c	near	45.12	ghidra:near:0.0
001081c8	func_001081c8	300	mmi	m2c	near	42.33	ghidra:near:3.73
00108398	func_00108398	156	mmi	m2c	near	37.00	ghidra:near:0.0
00108600	func_00108600	148	straight	permute	exact	100.00	lift:near:99.84;ghidra:near:94.22;m2c:near:31.49
00108698	func_00108698	148	straight	permute	exact	100.00	lift:near:99.84;ghidra:near:94.22;m2c:near:31.49
00108730	func_00108730	512	float	ghidra	near	1.24	m2c:near:0.0;lift:compile:0.0
00108930	func_00108930	84	loop	lift	near	76.33	ghidra:near:67.6;m2c:near:63.32
00109070	func_00109070	204	loop	lift	near	92.74	ghidra:near:70.88;m2c:compile:0.0
00109140	func_00109140	132	float	lift	near	89.55	ghidra:near:49.67;m2c:near:42.36
001091c8	func_001091c8	180	straight	ghidra	near	76.94	m2c:compile:0.0
00109360	func_00109360	104	branchy	lift	exact	100.00	m2c:near:79.0;ghidra:near:68.52
00109450	_Z16wtarget_00109450jjjj	144	loop	ghidra	near	83.89	lift:near:73.75;m2c:near:73.69
001094e0	func_001094e0	396	switch	m2c	near	42.12	ghidra:near:30.47;lift:near:29.9
00109690	func_00109690	116	mmi	m2c	near	30.24	ghidra:near:0.0
00109708	func_00109708	124	mmi	m2c	near	49.65	ghidra:near:0.0
00109788	func_00109788	96	branchy	lift	exact	100.00	m2c:near:90.12;ghidra:near:69.59
001097e8	func_001097e8	1092	switch	ghidra	near	53.25	
00109c30	func_00109c30	144	loop	ghidra	near	88.39	lift:near:79.39;m2c:near:74.12
00109cc0	func_00109cc0	64	branchy	lift	exact	100.00	ghidra:near:93.53;m2c:near:44.68
00109d00	func_00109d00	276	branchy	ghidra	near	56.01	lift:near:44.64;m2c:near:38.52
00109e30	_Z13func_00109e30i	92	branchy	lift	near	94.35	m2c:near:94.35;ghidra:near:79.57
00109ea8	func_00109ea8	148	switch	ghidra	near	0.00	
00109f58	func_00109f58	116	switch	ghidra	near	0.00	
00109fe8	func_00109fe8	484	loop	lift	near	68.89	ghidra:near:23.34;m2c:near:7.68
0010a1d0	func_0010a1d0	764	loop	lift	near	70.02	ghidra:near:41.31;m2c:near:10.34
0010a4d0	func_0010a4d0	176	loop	ghidra	near	95.39	m2c:near:73.84;lift:near:59.73
0010a618	_Z17ctarget0_0010a618v	448	branchy	lift	near	87.82	ghidra:near:68.54;m2c:near:61.84
0010a7d8	func_0010a7d8	36	straight	lift	near	68.30	ghidra:near:51.5;m2c:near:36.2
0010a828	func_0010a828	92	float	lift	exact	100.00	m2c:near:31.76;ghidra:near:8.51
0010a918	func_0010a918	496	branchy	m2c	near	64.19	ghidra:near:59.82;lift:near:34.99
0010ab08	func_0010ab08	120	branchy	lift	near	65.80	m2c:near:63.13;ghidra:near:24.8
0010abc8	func_0010abc8	36	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:near:50.33
0010abf0	func_0010abf0	668	loop	lift	near	66.84	ghidra:near:37.71;m2c:compile:0.0
0010aef0	_Z13func_0010aef0ii	1316	branchy	lift	near	59.47	m2c:near:36.93;ghidra:near:36.53
0010b468	_Z16wtarget_0010b468jjjj	228	vu0	lift	near	46.51	m2c:near:28.75;ghidra:near:8.56
0010b550	func_0010b550	20	straight	lift	exact	100.00	ghidra:near:99.6;m2c:near:76.0
0010b568	_Z16wtarget_0010b568jjjj	180	vu0	lift	near	82.15	ghidra:near:1.35;m2c:compile:0.0
0010b620	func_0010b620	196	vu0	lift	near	77.18	ghidra:near:0.0;m2c:compile:0.0
0010b978	func_0010b978	1792	branchy	lift	near	91.44	ghidra:near:0.0;m2c:compile:0.0
0010c078	func_0010c078	1792	branchy	lift	near	91.44	ghidra:near:0.0;m2c:compile:0.0
0010c7b0	func_0010c7b0	56	branchy	lift	exact	100.00	ghidra:exact:100.0;m2c:exact:100.0
0010c7f0	func_0010c7f0	56	straight	lift	near	98.57	ghidra:near:98.57;m2c:near:98.57
0010c828	func_0010c828	40	straight	lift	exact	100.00	ghidra:near:98.0;m2c:near:98.0;corpus:near:82.83;e3:near:0.0
0010c940	func_0010c940	180	float	m2c	near	67.73	lift:near:56.57;ghidra:near:45.96
0010c9f8	func_0010c9f8	208	float	lift	near	65.59	m2c:near:39.19;ghidra:near:13.78
0010cbc8	func_0010cbc8	152	branchy	lift	near	88.63	m2c:near:88.63;ghidra:near:82.6
0010cce0	func_0010cce0	80	loop	lift	exact	100.00	m2c:near:57.0;e3:near:45.9;ghidra:near:38.9
0010ce78	func_0010ce78	120	branchy	m2c	near	71.47	lift:near:51.83;ghidra:near:3.37
0010cef0	func_0010cef0	324	vu0	lift	near	55.17	ghidra:near:21.48;m2c:near:19.51
0010d038	func_0010d038	320	vu0	lift	near	36.78	ghidra:near:31.41;m2c:near:21.39
0010d188	func_0010d188	300	branchy	lift	near	79.44	ghidra:near:24.6;m2c:compile:0.0
0010d2b8	_Z13func_0010d2b8Pv	432	vu0	ghidra	near	39.88	m2c:compile:0.0
0010d918	func_0010d918	296	loop	e3	near	42.47	ghidra:near:34.22;m2c:near:27.1
0010da40	func_0010da40	452	vu0	lift	near	34.26	ghidra:near:0.0;m2c:compile:0.0
0010df18	func_0010df18	536	branchy	lift	near	72.82	ghidra:near:0.0;m2c:compile:0.0
0010e130	_ZN2kn6Friend12updateTargetEb	568	float	m2c	near	75.68	lift:near:74.96;ghidra:near:41.5
0010e368	func_0010e368	884	vu0	lift	near	67.74	m2c:near:0.26;ghidra:near:0.0
0010e6e0	func_0010e6e0	256	float	lift	near	95.15	ghidra:near:20.75;e3:near:0.0;m2c:compile:0.0
0010e810	_ZN2kn6Friend10followMoveEPKNS_6VecSetE	1732	vu0	m2c	near	20.43	ghidra:near:0.0;lift:compile:0.0
0010ef48	func_0010ef48	336	loop	ghidra	near	67.58	lift:near:52.2;e3:near:0.0;m2c:compile:0.0
0010f448	func_0010f448	436	vu0	m2c	near	44.70	ghidra:near:41.1;lift:near:6.72
0010f600	func_0010f600	72	branchy	lift	exact	100.00	ghidra:exact:100.0;m2c:near:88.89
0010f660	func_0010f660	84	float	lift	exact	100.00	e3:near:74.36;m2c:near:65.32;ghidra:near:61.14
0010f6b8	func_0010f6b8	60	float	e3	exact	100.00	ghidra:near:59.67;m2c:near:38.93;lift:near:1.67
0010f6f8	func_0010f6f8	76	float	ghidra	near	68.16	m2c:near:41.05;lift:near:23.16
0010f748	func_0010f748	104	branchy	m2c	near	95.38	ghidra:near:85.52;lift:near:40.0
0010f7b0	_ZN2kn6Friend14equipedAbilityEii	208	loop	lift	near	93.56	e3:near:88.55;m2c:near:74.12;ghidra:near:39.13
0010f918	_Z16wtarget_0010f918jjjj	68	branchy	typed	exact	100.00	lift:exact:100.0;e3:near:84.41;m2c:near:42.44;ghidra:near:37.65
0010f960	func_0010f960	64	branchy	lift	exact	100.00	m2c:near:39.06;ghidra:near:33.75
0010f9f0	func_0010f9f0	52	branchy	lift	near	98.77	e3:near:49.06;ghidra:near:34.24;m2c:near:32.44
0010fb10	func_0010fb10	912	loop	ghidra	near	53.29	lift:near:41.7;m2c:compile:0.0
0010fea0	func_0010fea0	100	loop	lift	near	80.40	ghidra:near:56.19;m2c:near:51.88
0010ff08	func_0010ff08	1524	float	ghidra	near	41.86	m2c:compile:0.0
00110500	_ZN2kn6Friend12followPlayerEv	280	vu0	lift	near	25.13	ghidra:near:0.0;m2c:near:0.0
001106a0	func_001106a0	588	vu0	lift	near	41.17	ghidra:near:32.17;m2c:compile:0.0
00110b00	func_00110b00	400	vu0	lift	near	56.89	ghidra:near:3.78;m2c:compile:0.0
00110c90	func_00110c90	880	vu0	lift	near	16.84	ghidra:near:0.0;m2c:near:0.0
00111060	func_00111060	132	float	ghidra	near	70.89	lift:near:58.88;m2c:near:45.88
001110e8	func_001110e8	224	branchy	lift	near	91.05	ghidra:near:20.25;m2c:compile:0.0
001111c8	func_001111c8	172	float	typed	exact	100.00	lift:exact:100.0;m2c:near:70.35;ghidra:near:53.38
00111278	func_00111278	44	branchy	ghidra	exact	100.00	m2c:exact:100.0;lift:near:25.73
001112a8	func_001112a8	628	float	lift	near	64.29	ghidra:near:63.07;m2c:near:59.16
00111808	func_00111808	156	float	m2c	near	89.18	lift:near:69.96;ghidra:near:44.37
001118a8	func_001118a8	1136	vu0	lift	near	60.56	ghidra:near:8.43;m2c:compile:0.0
00111d98	_Z16wtarget_00111d98jjjj	136	loop	lift	near	68.17	m2c:near:63.49;ghidra:near:47.6
00111e50	func_00111e50	252	loop	lift	near	81.83	ghidra:near:73.9;m2c:compile:0.0
00111f50	func_00111f50	844	vu0	lift	near	77.03	ghidra:near:38.13;m2c:compile:0.0
00112388	func_00112388	100	loop	lift	exact	100.00	m2c:near:99.56;e3:near:69.66;ghidra:near:68.68
001123f0	_ZN2kn6Friend4InitEv	236	vu0	lift	near	87.28	m2c:near:72.14;ghidra:near:27.01
001124f8	_Z16wtarget_001124f8jjjj	108	branchy	lift	near	80.59	ghidra:near:58.23;m2c:near:22.56
001125d8	func_001125d8	324	branchy	lift	near	86.45	m2c:near:49.89;ghidra:near:44.65
001127c0	func_001127c0	272	loop	lift	near	87.13	ghidra:near:81.07;m2c:near:72.78
001128d0	_Z16u_tail4_001128d0jjjj	264	loop	lift	near	98.26	m2c:near:76.3;ghidra:near:72.39
001129d8	func_001129d8	124	branchy	lift	near	80.10	ghidra:near:66.0;m2c:near:44.91
00112ab8	func_00112ab8	352	float	lift	near	9.52	m2c:near:5.68;ghidra:near:0.0
00112d28	func_00112d28	104	branchy	m2c	near	76.48	ghidra:near:54.87;lift:near:40.68
00112d90	func_00112d90	92	branchy	twins	exact	100.00	m2c:exact:100.0;ghidra:near:87.09;lift:near:51.48;e3:near:31.91
00112df0	_ZN2kn6Friend15setAttackTargetEPN2YS3OBJEPNS1_6TARGETEPNS_7FVectorEf	404	vu0	ghidra	near	8.63	m2c:compile:0.0
00112f88	func_00112f88	292	vu0	ghidra	near	56.17	lift:near:34.25;m2c:near:25.52
001130b0	func_001130b0	552	vu0	ghidra	near	41.25	m2c:near:28.61;lift:compile:0.0
00113338	_ZN2kn6Friend6strikeERKNS_7FVectorEPN2YS6TARGETEiii	188	straight	ghidra	near	87.45	e3:near:76.9;m2c:near:48.94;lift:compile:0.0
00113470	_Z13func_00113470ii	320	loop	lift	near	85.62	ghidra:near:68.26;m2c:near:56.43
001136b8	func_001136b8	292	loop	m2c	near	75.53	ghidra:near:64.48;e3:near:41.11
00113808	func_00113808	64	branchy	ghidra	exact	100.00	lift:near:58.44;m2c:near:58.44
00113848	func_00113848	324	float	lift	near	77.21	m2c:near:36.62;ghidra:near:0.0
00113fb0	func_00113fb0	288	branchy	lift	near	67.53	m2c:near:65.86;e3:near:62.26;ghidra:near:0.0
001142e0	func_001142e0	72	float	typed	exact	100.00	lift:exact:100.0;e3:near:43.52;ghidra:near:20.95;m2c:compile:0.0
00114328	func_00114328	72	float	typed	exact	100.00	lift:exact:100.0;m2c:near:87.78;e3:near:43.52;ghidra:near:20.95
00114438	func_00114438	88	loop	e3	near	55.83	m2c:near:46.77;lift:near:41.09;ghidra:near:20.86
00114490	func_00114490	88	loop	m2c	near	46.77	lift:near:41.09;ghidra:near:20.86
001144e8	func_001144e8	104	loop	lift	near	68.11	m2c:near:58.5;ghidra:near:54.0;e3:near:0.0
001145b0	func_001145b0	76	loop	lift	exact	100.00	m2c:near:78.95;ghidra:near:54.41
00114850	func_00114850	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
00114968	func_00114968	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
00114b90	func_00114b90	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
00114cc8	func_00114cc8	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
00114de0	func_00114de0	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
00114f38	func_00114f38	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
00115090	_ZN2kn7SparrowD0Ev	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
00115290	func_00115290	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
001153e8	func_001153e8	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
00115560	func_00115560	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
001156b8	func_001156b8	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
001157d0	func_001157d0	52	straight	lift	exact	100.00	e3:exact:100.0;m2c:exact:100.0;ghidra:near:55.33
00115848	func_00115848	956	vu0	ghidra	near	49.26	m2c:compile:0.0
00115c08	func_00115c08	1472	vu0	ghidra	near	0.00	m2c:near:0.0
001161c8	func_001161c8	1484	vu0	ghidra	near	0.00	m2c:near:0.0
00116798	func_00116798	296	float	typed	exact	100.00	lift:exact:100.0;m2c:near:58.69;ghidra:near:24.71;e3:near:21.08
001168c0	func_001168c0	120	float	lift	near	78.93	m2c:near:68.13;ghidra:near:62.13;e3:near:51.67
001169e8	func_001169e8	796	float	lift	near	82.29	m2c:near:52.34;ghidra:near:26.2
00116d08	func_00116d08	168	vu0	lift	near	21.48	m2c:near:21.17;ghidra:near:20.75
00116db0	_ZN2kn6Stitch8pre_execEv	2008	vu0	ghidra	near	0.00	m2c:near:0.0
00117588	_ZN2kn6Stitch14update_obj_posEv	492	vu0	lift	near	40.65	m2c:near:14.53;ghidra:near:13.52
00117808	func_00117808	176	float	lift	near	81.77	m2c:near:57.06;ghidra:near:47.81
00117970	_ZN2kn6Stitch11startEffectEiPN2YS3OBJEiibii	308	vu0	lift	near	91.01	ghidra:near:69.55;m2c:near:46.71
00117b38	func_00117b38	240	vu0	lift	near	81.00	ghidra:near:62.37;m2c:near:45.3
00117c28	func_00117c28	240	vu0	lift	near	81.00	ghidra:near:62.37;m2c:near:45.3
00117d18	func_00117d18	192	loop	lift	near	97.76	m2c:near:89.85;ghidra:near:62.62
00117dd8	func_00117dd8	192	loop	lift	near	97.76	m2c:near:89.85;ghidra:near:62.62
00117e98	func_00117e98	196	loop	m2c	near	95.47	lift:near:94.71;ghidra:near:64.09;e3:near:0.0
001182d0	func_001182d0	88	loop	ghidra	near	99.55	lift:near:93.09;m2c:near:36.36
00118378	func_00118378	568	vu0	ghidra	near	55.87	m2c:near:18.15
00118998	func_00118998	888	vu0	lift	near	56.96	m2c:near:35.99;ghidra:near:14.8
00118d10	func_00118d10	140	float	m2c	near	78.94	ghidra:near:67.05;e3:near:63.81
00118da0	_ZN2kn6Stitch10set_targetEv	608	float	m2c	near	40.69	ghidra:near:32.57
001195a8	func_001195a8	292	float	typed	exact	100.00	lift:exact:100.0;m2c:near:94.29;ghidra:near:59.99
