addr	symbol	size	class	source	status	fuzzy	alternatives
0016d968	func_0016d968	180	vu0	lift	near	40.13	m2c:near:0.0;ghidra:compile:0.0
0016da20	func_0016da20	184	vu0	lift	near	79.76	ghidra:near:0.0;m2c:near:0.0
0016dad8	func_0016dad8	72	branchy	twins	exact	100.00	lift:near:83.56;m2c:near:58.23;ghidra:near:44.62
0016dbe0	func_0016dbe0	68	straight	lift	near	99.41	m2c:near:92.94;ghidra:near:60.53
0016dd28	func_0016dd28	128	straight	lift	near	43.00	ghidra:near:41.38;m2c:near:26.94
0016df28	func_0016df28	72	float	lift	exact	100.00	ghidra:near:25.19;m2c:near:14.72
0016df70	func_0016df70	72	float	lift	exact	100.00	ghidra:near:25.19;m2c:near:14.72
0016e000	func_0016e000	72	float	lift	exact	100.00	ghidra:near:25.19;m2c:near:14.72
0016e048	func_0016e048	72	float	lift	exact	100.00	ghidra:near:25.19;m2c:near:14.72
0016e130	_ZN2YS29trap_saveram_set_form_abilityEP8BD_VALUE	56	straight	lift	exact	100.00	m2c:exact:100.0;ghidra:near:95.64
0016e200	func_0016e200	60	branchy	twins	exact	100.00	lift:near:85.27;m2c:near:85.27;ghidra:near:66.0
0016e240	func_0016e240	80	branchy	lift	near	89.25	ghidra:near:65.71;m2c:near:63.79
0016e3e0	func_0016e3e0	256	vu0	lift	near	70.88	m2c:near:23.02;ghidra:near:21.95
0016e500	func_0016e500	60	branchy	twins	exact	100.00	lift:near:85.27;m2c:near:85.27;ghidra:near:66.0;e3:near:35.95
0016e688	_ZN2YS11trap_assertEP8BD_VALUE	32	straight	corpus	near	87.56	lift:near:66.75;ghidra:near:66.75;m2c:near:66.75;e3:near:56.67
0016e718	_ZN2YS24trap_partram_add_abilityEP8BD_VALUE	40	straight	corpus	near	80.00	e3:near:62.0;lift:near:53.4;ghidra:near:53.4;m2c:near:53.4
0016e8f8	func_0016e8f8	36	straight	lift	exact	100.00	ghidra:exact:100.0;e3:near:92.67;m2c:near:89.8
0016e920	_ZN2Tz6JmInfo12GetCharaDataEj	504	branchy	m2c	near	76.63	lift:near:74.8;ghidra:near:37.04
0016eb18	func_0016eb18	44	straight	corpus	exact	100.00	ghidra:exact:100.0;m2c:near:99.55;lift:near:39.09
0016eb48	_Z16u_tail4_0016eb48jjjj	520	loop	m2c	near	88.22	lift:near:85.15;ghidra:near:65.79
0016ed50	_ZN2YS8OBJENTRY11ReadRequestEjii	472	branchy	lift	near	74.39	ghidra:near:0.0;m2c:compile:0.0
0016f000	func_0016f000	1072	float	lift	near	95.03	m2c:near:90.18;ghidra:near:78.23
0016f470	func_0016f470	68	branchy	lift	exact	100.00	m2c:exact:100.0;ghidra:near:56.94
0016f4b8	func_0016f4b8	100	branchy	lift	exact	100.00	m2c:near:82.81;ghidra:near:57.24
0016f520	func_0016f520	240	branchy	lift	near	89.73	m2c:near:89.65;ghidra:near:29.84;e3:near:14.76
0016f610	func_0016f610	144	branchy	lift	near	49.64	ghidra:near:48.62;m2c:compile:0.0
0016f6a0	_ZNK2YS8OBJENTRY16get_weapon_entryEi	64	branchy	typed	exact	100.00	lift:exact:100.0;m2c:exact:100.0;ghidra:near:94.12;corpus:near:86.75
