ee_addr	ppc_addr	votes	c_ident	mangled	demangled	dwarf_type
0035f23c	007fd5b4	2.0	Tz__CmGra__m_Imd	_ZN2Tz5CmGra5m_ImdE	Tz::CmGra::m_Imd	void *
0035f240	007fd5b8	3.0	Tz__CmGra__m_Sqd	_ZN2Tz5CmGra5m_SqdE	Tz::CmGra::m_Sqd	void *
0035f244	007fdea0	6.0	Tz__SimpleStat__m_Base	_ZN2Tz10SimpleStat6m_BaseE	Tz::SimpleStat::m_Base	dk::Sprite *
0035f248	007fdea4	5.0	Tz__SimpleStat__m_Info	_ZN2Tz10SimpleStat6m_InfoE	Tz::SimpleStat::m_Info	Tz::SimpleStat::Info *
0035f250	007fdc4c	10.0	Tz__GumiPause__m_Lay	_ZN2Tz9GumiPause5m_LayE	Tz::GumiPause::m_Lay	Tz::Layout *
0035f254	007fdc50	8.0	Tz__GumiPause__m_MenuPtr	_ZN2Tz9GumiPause9m_MenuPtrE	Tz::GumiPause::m_MenuPtr	Tz::Select *
0035f258	007fdc54	7.0	Tz__GumiPause__m_Bg	_ZN2Tz9GumiPause4m_BgE	Tz::GumiPause::m_Bg	dk::Sprite *
0035f25c	007fdc58	5.0	Tz__GumiPause__m_Mess	_ZN2Tz9GumiPause6m_MessE	Tz::GumiPause::m_Mess	dk::SpriteMessage *
0035f260	007fdc5c	6.0	Tz__GumiPause__m_Info	_ZN2Tz9GumiPause6m_InfoE	Tz::GumiPause::m_Info	Tz::GumiPause::AdviceInfo *
0035f264	007fdc60	4.0	Tz__GumiPause__m_AdviceSeq	_ZN2Tz9GumiPause11m_AdviceSeqE	Tz::GumiPause::m_AdviceSeq	Tz::GumiPause::AdviceSeq *
0035f268	007fdc64	2.0	Tz__GumiPause__m_SelNum	_ZN2Tz9GumiPause8m_SelNumE	Tz::GumiPause::m_SelNum	char
0035f280	007fdc74	4.0	Tz__ItemPicDraw__m_PicNum	_ZN2Tz11ItemPicDraw8m_PicNumE	Tz::ItemPicDraw::m_PicNum	short
0035f288	007fdc80	3.0	Tz__ItemPicDraw__m_BaseGra	_ZN2Tz11ItemPicDraw9m_BaseGraE	Tz::ItemPicDraw::m_BaseGra	dk::Sprite *
0035f28c	007fdc84	4.0	Tz__ItemPicDraw__m_BaseGraPtr	_ZN2Tz11ItemPicDraw12m_BaseGraPtrE	Tz::ItemPicDraw::m_BaseGraPtr	dk::Sprite *
0035f298	00b5bf04	2.0	Tz__ItemPicDraw__m_ChgGra	_ZN2Tz11ItemPicDraw8m_ChgGraE	Tz::ItemPicDraw::m_ChgGra	BOOL_1
0035f299	007fdc8c	2.0	Tz__ItemPicDraw__m_BaseControl	_ZN2Tz11ItemPicDraw13m_BaseControlE	Tz::ItemPicDraw::m_BaseControl	BOOL_1
0035f2c0	007fd5ac	3.0	Tz__s_stream_memory	_ZN2Tz15s_stream_memoryE	Tz::s_stream_memory	void *
0035f2c4	007fd590	3.0	Tz__Ending__m_File	_ZN2Tz6Ending6m_FileE	Tz::Ending::m_File	Tz::LayFile *
0035f2c8	007fd594	6.0	Tz__Ending__m_Lay	_ZN2Tz6Ending5m_LayE	Tz::Ending::m_Lay	Tz::Layout *
0035f2cc	007fd598	4.0	Tz__Ending__m_SeqTbl	_ZN2Tz6Ending8m_SeqTblE	Tz::Ending::m_SeqTbl	Tz::Ending::SeqTbl *
0035f2d0	00b5aa84	5.0	Tz__Ending__m_FadeWait	_ZN2Tz6Ending10m_FadeWaitE	Tz::Ending::m_FadeWait	BOOL_1
0035f2d4	00b5aa80	3.0	Tz__Ending__m_SelMode	_ZN2Tz6Ending9m_SelModeE	Tz::Ending::m_SelMode	int
0035f2d8	007fd59c	4.0	Tz__Ending__m_Win	_ZN2Tz6Ending5m_WinE	Tz::Ending::m_Win	dk::SpriteMessage *
0035f2dc	007fd5a0	5.0	Tz__Ending__m_SelPtr	_ZN2Tz6Ending8m_SelPtrE	Tz::Ending::m_SelPtr	Tz::Select *
0035f2e0	007fd5a4	2.0	Tz__Ending__m_Light	_ZN2Tz6Ending7m_LightE	Tz::Ending::m_Light	Tz::LightCur *
0035f2e4	007fdf24	12.0	Tz__CmNewFlg__m_Info	_ZN2Tz8CmNewFlg6m_InfoE	Tz::CmNewFlg::m_Info	Tz::CmNewFlg::Info *
0035f2f0	00b5d9ac	2.0	Tz__MenuBase__m_ModeMax	_ZN2Tz8MenuBase9m_ModeMaxE	Tz::MenuBase::m_ModeMax	int
0035f2f4	00b5d9b0	2.0	Tz__MenuBase__m_SModeMax	_ZN2Tz8MenuBase10m_SModeMaxE	Tz::MenuBase::m_SModeMax	int
0035f2f8	00b5d9b4	4.0	Tz__MenuBase__m_Mode	_ZN2Tz8MenuBase6m_ModeE	Tz::MenuBase::m_Mode	int
0035f2fc	007fddf8	2.0	Tz__MenuBase__m_OldMode	_ZN2Tz8MenuBase9m_OldModeE	Tz::MenuBase::m_OldMode	int
0035f304	00b5d9b8	3.0	Tz__MenuBase__m_SMode	_ZN2Tz8MenuBase7m_SModeE	Tz::MenuBase::m_SMode	int
0035f308	007fde00	1.0	Tz__MenuBase__m_OldSMode	_ZN2Tz8MenuBase10m_OldSModeE	Tz::MenuBase::m_OldSMode	int
0035f30c	00b5d9bc	3.0	Tz__MenuBase__m_Phase	_ZN2Tz8MenuBase7m_PhaseE	Tz::MenuBase::m_Phase	int
0035f310	007fde04	1.0	Tz__MenuBase__m_OldPhase	_ZN2Tz8MenuBase10m_OldPhaseE	Tz::MenuBase::m_OldPhase	int
0035f314	00b5d9c0	3.0	Tz__MenuBase__m_Exit	_ZN2Tz8MenuBase6m_ExitE	Tz::MenuBase::m_Exit	BOOL_1
0035f31c	007fde08	3.0	Tz__MenuBase__m_Obj	_ZN2Tz8MenuBase5m_ObjE	Tz::MenuBase::m_Obj	Tz::MenuObj *
0035f320	00b5d9c8	3.0	Tz__MenuBase__m_LoadImage	_ZN2Tz8MenuBase11m_LoadImageE	Tz::MenuBase::m_LoadImage	BOOL_1
0035f324	007fde0c	3.0	Tz__MenuBase__m_Pad	_ZN2Tz8MenuBase5m_PadE	Tz::MenuBase::m_Pad	YS::PAD *
0035f328	007fde2c	1.0	Tz__s_isMenuRunning_2	_ZN2Tz15s_isMenuRunningE	Tz::s_isMenuRunning	bool
0035f32a	007fde10	2.0	Tz__MenuBasic__m_Menu	_ZN2Tz9MenuBasic6m_MenuE	Tz::MenuBasic::m_Menu	short
0035f32c	007fde12	3.0	Tz__MenuBasic__m_NextMenu	_ZN2Tz9MenuBasic10m_NextMenuE	Tz::MenuBasic::m_NextMenu	short
0035f32e	007fde14	3.0	Tz__MenuBasic__m_NextMenu2	_ZN2Tz9MenuBasic11m_NextMenu2E	Tz::MenuBasic::m_NextMenu2	short
0035f330	00b5dae0	2.0	Tz__MenuBasic__m_ExitMenuThread	_ZN2Tz9MenuBasic16m_ExitMenuThreadE	Tz::MenuBasic::m_ExitMenuThread	BOOL_1
0035f338	007fde1c	4.0	Tz__MenuBasic__m_Fade	_ZN2Tz9MenuBasic6m_FadeE	Tz::MenuBasic::m_Fade	dk::Sprite *
0035f344	007fde28	2.0	Tz__MenuBasic__m_Func	_ZN2Tz9MenuBasic6m_FuncE	Tz::MenuBasic::m_Func	void (*)()
0035f348	007fde9c	1.0	Tz__s_InitCnt_2	_ZN2Tz9s_InitCntE	Tz::s_InitCnt	char
0035f34c	007fde94	4.0	Tz__Select__m_Allocator	_ZN2Tz6Select11m_AllocatorE	Tz::Select::m_Allocator	ALLOCATOR *
0035f350	007fde98	2.0	Tz__Select__m_BackUpAllocator	_ZN2Tz6Select17m_BackUpAllocatorE	Tz::Select::m_BackUpAllocator	ALLOCATOR *
0035f398	0074a7a0	2.0	vtbl__Tz__SaveFile	_ZTVN2Tz8SaveFileE	vtable for Tz::SaveFile	
0035f3a8	00b5ddb0	4.0	Tz__MenuItem__m_LayFile	_ZN2Tz8MenuItem9m_LayFileE	Tz::MenuItem::m_LayFile	Tz::LayFile
0035f3c4	007fde5c	2.0	Tz__MenuItem__m_sp	_ZN2Tz8MenuItem4m_spE	Tz::MenuItem::m_sp	YS::CLASS_BLOCK<Tz::MenuItem, 32> *
0035f3cc	00b5ddcc	2.0	Tz__MenuItem__m_count	_ZN2Tz8MenuItem7m_countE	Tz::MenuItem::m_count	int
0035f3d0	00b5ddd0	1.0	Tz__MenuItem__m_count_backup	_ZN2Tz8MenuItem14m_count_backupE	Tz::MenuItem::m_count_backup	int
0035f3d4	007fde58	87.0	Tz__MenuItem__m_pri	_ZN2Tz8MenuItem5m_priE	Tz::MenuItem::m_pri	int
0035f3d8	0074a680	1.0	vtbl__Tz__MenuItem	_ZTVN2Tz8MenuItemE	vtable for Tz::MenuItem	
0035f3f8	007fde4c	3.0	Tz__MenuCursor__m_Allocator	_ZN2Tz10MenuCursor11m_AllocatorE	Tz::MenuCursor::m_Allocator	ALLOCATOR *
0035f400	007fde44	4.0	Tz__MenuCursor__m_CurType	_ZN2Tz10MenuCursor9m_CurTypeE	Tz::MenuCursor::m_CurType	Tz::MenuCursor::CurType *
0035f408	007fde48	4.0	Tz__MenuCursor__m_Type	_ZN2Tz10MenuCursor6m_TypeE	Tz::MenuCursor::m_Type	int *
0035f40c	007fde50	5.0	Tz__MenuCursor__m_Pri	_ZN2Tz10MenuCursor5m_PriE	Tz::MenuCursor::m_Pri	int *
0035f410	00b5dd14	4.0	Tz__MenuCursor__m_DeleteFlg	_ZN2Tz10MenuCursor11m_DeleteFlgE	Tz::MenuCursor::m_DeleteFlg	int
0035f414	007fde54	2.0	Tz__MenuCursor__m_PushBuff	_ZN2Tz10MenuCursor10m_PushBuffE	Tz::MenuCursor::m_PushBuff	Tz::MenuCursor::Backup *
0035f438	0074a780	1.0	vtbl__Tz__MultiSeq	_ZTVN2Tz8MultiSeqE	vtable for Tz::MultiSeq	
0035f468	00b5e4a0	3.0	Tz__SelHist__m_SeqNum	_ZN2Tz7SelHist8m_SeqNumE	Tz::SelHist::m_SeqNum	short[3]
0035f470	00b5e4a6	3.0	Tz__SelHist__m_SeqNum2	_ZN2Tz7SelHist9m_SeqNum2E	Tz::SelHist::m_SeqNum2	short[3]
0035f478	00b5e4ac	2.0	Tz__SelHist__m_LightSeqNum	_ZN2Tz7SelHist13m_LightSeqNumE	Tz::SelHist::m_LightSeqNum	short[3]
0035f480	007fde90	9.0	Tz__SelHist__m_SeqBuff	_ZN2Tz7SelHist9m_SeqBuffE	Tz::SelHist::m_SeqBuff	Tz::SelHist::SeqBuff *
0035f488	0074a190	3.0	vtbl__Tz__HelpGra	_ZTVN2Tz7HelpGraE	vtable for Tz::HelpGra	
0035f4b8	00b5d828	4.0	Tz__LoadData__m_isRequest	_ZN2Tz8LoadData11m_isRequestE	Tz::LoadData::m_isRequest	BOOL_1
0035f4e0	00b5e93e	2.0	Tz__UnitLoad__m_EntryCnt	_ZN2Tz8UnitLoad10m_EntryCntE	Tz::UnitLoad::m_EntryCnt	short
0035f4e2	00b5e940	4.0	Tz__UnitLoad__m_BackRead	_ZN2Tz8UnitLoad10m_BackReadE	Tz::UnitLoad::m_BackRead	BOOL_1
0035f4e8	007fdf04	5.0	Tz__ChgWeapon__m_Info	_ZN2Tz9ChgWeapon6m_InfoE	Tz::ChgWeapon::m_Info	Tz::ChgWeapon::Info *
0035f4ec	007fdf08	4.0	Tz__ChgWeapon__m_OrgInfo	_ZN2Tz9ChgWeapon9m_OrgInfoE	Tz::ChgWeapon::m_OrgInfo	Tz::ChgWeapon::Info *
0035f4f0	00b5eb00	4.0	Tz__ChgWeapon__m_Pause	_ZN2Tz9ChgWeapon7m_PauseE	Tz::ChgWeapon::m_Pause	BOOL_1
0035f4f4	00b5e9e0	4.0	Tz__ChgMember__m_Member	_ZN2Tz9ChgMember8m_MemberE	Tz::ChgMember::m_Member	YS::MEMBER *
0035f4f8	00b5e9e4	2.0	Tz__ChgMember__m_isCheck	_ZN2Tz9ChgMember9m_isCheckE	Tz::ChgMember::m_isCheck	BOOL_1
0035f4f9	00b5e9e5	2.0	Tz__ChgMember__m_isLoadExec	_ZN2Tz9ChgMember12m_isLoadExecE	Tz::ChgMember::m_isLoadExec	BOOL_1
0035f4fa	007fdf00	3.0	Tz__ChgMember__m_isInitInfo	_ZN2Tz9ChgMember12m_isInitInfoE	Tz::ChgMember::m_isInitInfo	BOOL_1
0035f570	007fdd54	3.0	Tz__JmInfo__m_Allocator	_ZN2Tz6JmInfo11m_AllocatorE	Tz::JmInfo::m_Allocator	ALLOCATOR *
0035f574	007fdd50	4.0	Tz__JmInfo__m_JimFile	_ZN2Tz6JmInfo9m_JimFileE	Tz::JmInfo::m_JimFile	Tz::MenuFile *
0035f578	007fdd58	2.0	Tz__JmInfo__m_EnableChara	_ZN2Tz6JmInfo13m_EnableCharaE	Tz::JmInfo::m_EnableChara	YS::BITFLAG<, u_int> *
0035f57c	007fdd98	3.0	Tz__JmWorldSel__m_ImgFile	_ZN2Tz10JmWorldSel9m_ImgFileE	Tz::JmWorldSel::m_ImgFile	Tz::LayFile *
0035f580	00b5d4a8	3.0	Tz__JmWorldSel__m_isFileAlloc	_ZN2Tz10JmWorldSel13m_isFileAllocE	Tz::JmWorldSel::m_isFileAlloc	BOOL_1
0035f581	00b5d4a9	1.0	Tz__JmWorldSel__m_isCreateGra	_ZN2Tz10JmWorldSel13m_isCreateGraE	Tz::JmWorldSel::m_isCreateGra	BOOL_1
0035f590	00b5d040	3.0	Tz__JmReport__m_isFileAlloc	_ZN2Tz8JmReport13m_isFileAllocE	Tz::JmReport::m_isFileAlloc	BOOL_1
0035f591	00b5d041	1.0	Tz__JmReport__m_isCreateGra	_ZN2Tz8JmReport13m_isCreateGraE	Tz::JmReport::m_isCreateGra	BOOL_1
0035f594	007fdd80	6.0	Tz__JmStory__m_MessInfo	_ZN2Tz7JmStory10m_MessInfoE	Tz::JmStory::m_MessInfo	Tz::JmStory::MessInfo *
0035f598	007fdc98	10.0	Tz__JmAlbum__m_AlbumInfo	_ZN2Tz7JmAlbum11m_AlbumInfoE	Tz::JmAlbum::m_AlbumInfo	Tz::JmAlbum::AlbumInfo *
0035f59c	007fdc9c	4.0	Tz__JmAlbum__m_ImgFile	_ZN2Tz7JmAlbum9m_ImgFileE	Tz::JmAlbum::m_ImgFile	Tz::LayFile *
0035f5a3	00b5c2f1	5.0	Tz__JmAlbum__m_isRequest	_ZN2Tz7JmAlbum11m_isRequestE	Tz::JmAlbum::m_isRequest	BOOL_1
0035f5a4	007fdcb0	4.0	Tz__JmCollection__m_ImgFile	_ZN2Tz12JmCollection9m_ImgFileE	Tz::JmCollection::m_ImgFile	Tz::LayFile *
0035f5a8	00b5c640	4.0	Tz__JmCollection__m_isFileAlloc	_ZN2Tz12JmCollection13m_isFileAllocE	Tz::JmCollection::m_isFileAlloc	BOOL_1
0035f5a9	00b5c641	3.0	Tz__JmCollection__m_isCreateGra	_ZN2Tz12JmCollection13m_isCreateGraE	Tz::JmCollection::m_isCreateGra	BOOL_1
0035f5ac	007fdd38	19.0	Tz__JmDic__m_DicInfo	_ZN2Tz5JmDic9m_DicInfoE	Tz::JmDic::m_DicInfo	Tz::JmDic::DicInfo *
0035f5b0	007fdd3c	4.0	Tz__JmDic__m_DicSeq	_ZN2Tz5JmDic8m_DicSeqE	Tz::JmDic::m_DicSeq	Tz::JmDic::DicSeq *
0035f5b6	007fdd40	3.0	Tz__JmDic__m_LoadObjNo	_ZN2Tz5JmDic11m_LoadObjNoE	Tz::JmDic::m_LoadObjNo	short
0035f5bc	007fdd44	4.0	Tz__JmDic__m_ZoomObj	_ZN2Tz5JmDic9m_ZoomObjE	Tz::JmDic::m_ZoomObj	Tz::MenuObj *
0035f5d0	007fdca4	11.0	Tz__JmAnsem__m_ReportInfo	_ZN2Tz7JmAnsem12m_ReportInfoE	Tz::JmAnsem::m_ReportInfo	Tz::JmAnsem::ReportInfo *
0035f5d4	007fdd2c	10.0	Tz__JmDiagram__m_Info	_ZN2Tz9JmDiagram6m_InfoE	Tz::JmDiagram::m_Info	Tz::JmDiagram::Info *
0035f5d8	007fdd30	10.0	Tz__JmDiagram__m_SeqList	_ZN2Tz9JmDiagram9m_SeqListE	Tz::JmDiagram::m_SeqList	Tz::JmDiagram::SeqList *
0035f5dc	007fdd34	4.0	Tz__JmDiagram__m_ImgFile	_ZN2Tz9JmDiagram9m_ImgFileE	Tz::JmDiagram::m_ImgFile	Tz::LayFile *
0035f5e0	00b5c888	4.0	Tz__JmDiagram__m_isFileAlloc	_ZN2Tz9JmDiagram13m_isFileAllocE	Tz::JmDiagram::m_isFileAlloc	BOOL_1
0035f5e1	00b5c889	3.0	Tz__JmDiagram__m_isRequest	_ZN2Tz9JmDiagram11m_isRequestE	Tz::JmDiagram::m_isRequest	BOOL_1
0035f5e4	007fdd90	16.0	Tz__JmTreasure__m_Info	_ZN2Tz10JmTreasure6m_InfoE	Tz::JmTreasure::m_Info	Tz::JmTreasure::Info *
0035f5e8	007fdd94	10.0	Tz__JmTreasure__m_SeqTbl	_ZN2Tz10JmTreasure8m_SeqTblE	Tz::JmTreasure::m_SeqTbl	Tz::JmTreasure::SeqTbl *
0035f5ec	007fdca8	10.0	Tz__JmBattle__m_ReportInfo	_ZN2Tz8JmBattle12m_ReportInfoE	Tz::JmBattle::m_ReportInfo	Tz::JmBattle::ReportInfo *
0035f5f0	007fdcac	4.0	Tz__JmBattle__m_Cnt	_ZN2Tz8JmBattle5m_CntE	Tz::JmBattle::m_Cnt	dk::SpriteMessage *
0035f5f4	007fdd88	2.0	Tz__JmSynthe__m_SeqTbl	_ZN2Tz8JmSynthe8m_SeqTblE	Tz::JmSynthe::m_SeqTbl	Tz::JmSynthe::SeqTbl *
0035f5f8	007fdd84	2.0	Tz__JmSynthe__m_File	_ZN2Tz8JmSynthe6m_FileE	Tz::JmSynthe::m_File	Tz::MenuFile *
0035f608	007fdd74	6.0	Tz__JmQuest__m_Info	_ZN2Tz7JmQuest6m_InfoE	Tz::JmQuest::m_Info	Tz::JmQuest::Info *
0035f60c	007fdd78	4.0	Tz__JmQuest__m_SeqTbl	_ZN2Tz7JmQuest8m_SeqTblE	Tz::JmQuest::m_SeqTbl	Tz::JmQuest::SeqTbl *
0035f610	007fdd64	29.0	Tz__JmNewInfo__m_New	_ZN2Tz9JmNewInfo5m_NewE	Tz::JmNewInfo::m_New	Tz::MenuSramJiminy *
0035f614	007fdcb8	2.0	Tz__s_InfoInit	_ZN2Tz10s_InfoInitE	Tz::s_InfoInit	char
0035f618	007fdcbc	2.0	Tz__s_Allocator	_ZN2Tz11s_AllocatorE	Tz::s_Allocator	kn::MemoryAllocator *
0035f630	007fdd68	7.0	Tz__JmPuzzle__m_ImageInfo	_ZN2Tz8JmPuzzle11m_ImageInfoE	Tz::JmPuzzle::m_ImageInfo	Tz::JmPuzzle::ImageInfo *
0035f634	007fdd6c	13.0	Tz__JmPuzzle__m_SeqTbl	_ZN2Tz8JmPuzzle8m_SeqTblE	Tz::JmPuzzle::m_SeqTbl	Tz::JmPuzzle::SeqTbl *
0035f638	007fdd70	17.0	Tz__JmPuzzle__m_Info	_ZN2Tz8JmPuzzle6m_InfoE	Tz::JmPuzzle::m_Info	Tz::JmPuzzle::Info *
0035f640	007fd6a4	6.0	Tz__CmSLBase__m_ImgUnit	_ZN2Tz8CmSLBase9m_ImgUnitE	Tz::CmSLBase::m_ImgUnit	int
0035f644	007fd6a8	4.0	Tz__CmSLBase__m_SeqUnit	_ZN2Tz8CmSLBase9m_SeqUnitE	Tz::CmSLBase::m_SeqUnit	int
0035f648	007fd6ac	4.0	Tz__CmSLBase__m_DummySeq	_ZN2Tz8CmSLBase10m_DummySeqE	Tz::CmSLBase::m_DummySeq	int
0035f64c	007fd6b0	20.0	Tz__CmSLBase__m_MenuPtr	_ZN2Tz8CmSLBase9m_MenuPtrE	Tz::CmSLBase::m_MenuPtr	Tz::Select *
0035f650	007fd6b4	17.0	Tz__CmSLBase__m_SelPtr	_ZN2Tz8CmSLBase8m_SelPtrE	Tz::CmSLBase::m_SelPtr	Tz::Select *
0035f654	007fd6b8	11.0	Tz__CmSLBase__m_WarningPtr	_ZN2Tz8CmSLBase12m_WarningPtrE	Tz::CmSLBase::m_WarningPtr	dk::SpriteMessage *
0035f658	007fd6bc	6.0	Tz__CmSLBase__m_ListBase	_ZN2Tz8CmSLBase10m_ListBaseE	Tz::CmSLBase::m_ListBase	dk::Sprite *
0035f65c	007fd6c0	3.0	Tz__CmSLBase__m_ListMsgBuff	_ZN2Tz8CmSLBase13m_ListMsgBuffE	Tz::CmSLBase::m_ListMsgBuff	Tz::ListMsgBuff *
0035f660	007fd6c4	3.0	Tz__CmSLBase__m_DrawListMsg	_ZN2Tz8CmSLBase13m_DrawListMsgE	Tz::CmSLBase::m_DrawListMsg	DRAW_LIST_MSG *
0035f664	007fd6c8	13.0	Tz__CmSLBase__m_Lay	_ZN2Tz8CmSLBase5m_LayE	Tz::CmSLBase::m_Lay	Tz::Layout *
0035f668	007fd6cc	3.0	Tz__CmSLBase__m_Place	_ZN2Tz8CmSLBase7m_PlaceE	Tz::CmSLBase::m_Place	Tz::LayMsg *
0035f66c	007fd6d0	4.0	Tz__CmSLBase__m_Munny	_ZN2Tz8CmSLBase7m_MunnyE	Tz::CmSLBase::m_Munny	Tz::MunnyDraw *
0035f670	007fd6d4	4.0	Tz__CmSLBase__m_Time	_ZN2Tz8CmSLBase6m_TimeE	Tz::CmSLBase::m_Time	Tz::TimeDraw *
0035f678	007fd6dc	7.0	Tz__CmSLBase__m_SclBar	_ZN2Tz8CmSLBase8m_SclBarE	Tz::CmSLBase::m_SclBar	Tz::ScrollBar *
0035f67c	007fd6e0	5.0	Tz__CmSLBase__m_Light	_ZN2Tz8CmSLBase7m_LightE	Tz::CmSLBase::m_Light	Tz::LightCur *
0035f680	00b5b6c8	6.0	Tz__CmSLBase__m_ListMsg	_ZN2Tz8CmSLBase9m_ListMsgE	Tz::CmSLBase::m_ListMsg	Tz::MenuItem *[4]
0035f6c0	007fd6e4	2.0	Tz__CmSLBase__m_HelpMess	_ZN2Tz8CmSLBase10m_HelpMessE	Tz::CmSLBase::m_HelpMess	Tz::LaySeqMess *
0035f6c4	007fd6e8	2.0	Tz__CmSLBase__m_HelpBuff	_ZN2Tz8CmSLBase10m_HelpBuffE	Tz::CmSLBase::m_HelpBuff	char *
0035f6c8	007fd6ec	3.0	Tz__CmSLBase__m_WarningBuff	_ZN2Tz8CmSLBase13m_WarningBuffE	Tz::CmSLBase::m_WarningBuff	char *
0035f6cc	007fd6f0	11.0	Tz__CmSLBase__m_SeqTbl	_ZN2Tz8CmSLBase8m_SeqTblE	Tz::CmSLBase::m_SeqTbl	const Tz::SLSeqNumTbl *
0035f6d0	00b5b708	6.0	Tz__CmSLBase__m_WaningPadWait	_ZN2Tz8CmSLBase15m_WaningPadWaitE	Tz::CmSLBase::m_WaningPadWait	char
0035f6dc	007fdeec	2.0	Tz__SyntheData__m_File	_ZN2Tz10SyntheData6m_FileE	Tz::SyntheData::m_File	Tz::MenuFile *
00360001	00716810	1.0	LS_41_LV_1	LS.41.LV.1	LS.41.LV.1	
00360006	0071a874	1.0	LS_33_LV_0	LS.33.LV.0	LS.33.LV.0	
00360198	00717fb2	1.0	LS_90_LV_8	LS.90.LV.8	LS.90.LV.8	
003616e4	007f7d56	2.0	seAlertPlay	seAlertPlay	seAlertPlay	bool
003616f0	007f7d48	3.0	s_disable	s_disable	s_disable	bool
003616f8	007f7d60	11.0	FIELD_INIT_BANK	FIELD_INIT_BANK	FIELD_INIT_BANK	int[27]
003617fc	007fe1bc	9.0	worldmap__currentLibretto	_ZN8worldmap15currentLibrettoE	worldmap::currentLibretto	worldmap::Libretto *
00361800	007fe16c	2.0	dk__s_isWorldMap	_ZN2dk12s_isWorldMapE	dk::s_isWorldMap	char
00361810	00b60830	1.0	worldmap__Obj___vtable	_ZN8worldmap3Obj7_vtableE	worldmap::Obj::_vtable	worldmap::Obj::VTABLE<worldmap::Obj>
00361898	007fe0b8	3.0	worldmap__execFlag	_ZN8worldmap8execFlagE	worldmap::execFlag	bool
00361899	007fe0b9	3.0	worldmap__readPackDisableFlag	_ZN8worldmap19readPackDisableFlagE	worldmap::readPackDisableFlag	bool
00361978	0074ab68	2.0	vtbl__worldmap__MessageWidget	_ZTVN8worldmap13MessageWidgetE	vtable for worldmap::MessageWidget	
00361998	007fe168	4.0	worldmap__rootWindow	_ZN8worldmap10rootWindowE	worldmap::rootWindow	worldmap::RootWindow *
003619a0	0074aa98	2.0	vtbl__worldmap__RootWindow	_ZTVN8worldmap10RootWindowE	vtable for worldmap::RootWindow	
003619c8	00b60d70	1.0	worldmap__Symbol___vtable	_ZN8worldmap6Symbol7_vtableE	worldmap::Symbol::_vtable	worldmap::Obj::VTABLE<worldmap::Symbol>
00361a50	007fe1b8	3.0	worldmap__currentEvent	_ZN8worldmap12currentEventE	worldmap::currentEvent	worldmap::Event *
00361a70	00807b0c	1.0	YS__CurrentThread	_ZN2YS13CurrentThreadE	YS::CurrentThread	TASK *
00361a90	007fe170	3.0	dk__currentTotalInfo	_ZN2dk16currentTotalInfoE	dk::currentTotalInfo	dk::WM_TOTAL_INFO *
00361b20	00b61988	1.0	worldmap__Gumi___vtable	_ZN8worldmap4Gumi7_vtableE	worldmap::Gumi::_vtable	worldmap::Obj::VTABLE<worldmap::Gumi>
00361be8	0074ad20	3.0	vtbl__worldmap__ObjWidget	_ZTVN8worldmap9ObjWidgetE	vtable for worldmap::ObjWidget	
00361c0c	007fe1cc	2.0	dk__episode_select	_ZN2dk14episode_selectE	dk::episode_select	Tz::Select *
00361c10	007fe1d0	4.0	dk__currentLanding	_ZN2dk14currentLandingE	dk::currentLanding	dk::WM_LANDING *
00361c18	0074b098	2.0	vtbl__dk__WM_LANDING	_ZTVN2dk10WM_LANDINGE	vtable for dk::WM_LANDING	
00361d00	00b60c30	1.0	worldmap__Player___vtable	_ZN8worldmap6Player7_vtableE	worldmap::Player::_vtable	YS::PLAYER::VTABLE<worldmap::Player>
00361dd8	007fe1d4	4.0	dk__currentLandingInfo	_ZN2dk18currentLandingInfoE	dk::currentLandingInfo	dk::WM_LANDING_INFO *
00361de0	0074b0b8	2.0	vtbl__dk__WM_LANDING_INFO	_ZTVN2dk15WM_LANDING_INFOE	vtable for dk::WM_LANDING_INFO	
00361e00	007fe1c8	4.0	dk__currentInfo	_ZN2dk11currentInfoE	dk::currentInfo	dk::WM_GLANDING_INFO *
00361e08	0074b078	2.0	vtbl__dk__WM_GLANDING_INFO	_ZTVN2dk16WM_GLANDING_INFOE	vtable for dk::WM_GLANDING_INFO	
00361e28	007fe1c4	4.0	dk__currentGLanding	_ZN2dk15currentGLandingE	dk::currentGLanding	dk::WM_GLANDING *
00361e30	0074b058	2.0	vtbl__dk__WM_GLANDING	_ZTVN2dk11WM_GLANDINGE	vtable for dk::WM_GLANDING	
00361f60	008079e4	81.0	Ti__MiniGame__current_	_ZN2Ti8MiniGame8current_E	Ti::MiniGame::current_	Ti::MiniGame *
00361f68	00758ee0	4.0	vtbl__Ti__MiniGame	_ZTVN2Ti8MiniGameE	vtable for Ti::MiniGame	
00361fa0	008079bc	6.0	Ti__MGObj__member_buffer_size_	_ZN2Ti5MGObj19member_buffer_size_E	Ti::MGObj::member_buffer_size_	int
00361fa4	008079c0	7.0	Ti__MGObj__members_	_ZN2Ti5MGObj8members_E	Ti::MGObj::members_	Ti::MGObjMember *
00361fa8	03eaed3c	2.0	Ti__MGObj__live_counter_	_ZN2Ti5MGObj13live_counter_E	Ti::MGObj::live_counter_	int
