ee_addr	ppc_addr	votes	c_ident	mangled	demangled	dwarf_type
0035ed50	007fe038	4.0	Tz__MUMI__m_SelPtr	_ZN2Tz4MUMI8m_SelPtrE	Tz::MUMI::m_SelPtr	Tz::Select *
0035ed54	007fe03c	8.0	Tz__MUMI__m_Lay	_ZN2Tz4MUMI5m_LayE	Tz::MUMI::m_Lay	Tz::Layout *
0035ed58	007fe040	6.0	Tz__MUMI__m_LayBg2	_ZN2Tz4MUMI8m_LayBg2E	Tz::MUMI::m_LayBg2	Tz::Layout *
0035ed5c	007fe044	7.0	Tz__MUMI__m_LayPic	_ZN2Tz4MUMI8m_LayPicE	Tz::MUMI::m_LayPic	Tz::Layout *
0035ed60	007fe04c	5.0	Tz__MUMI__m_HelpMsg	_ZN2Tz4MUMI9m_HelpMsgE	Tz::MUMI::m_HelpMsg	Tz::SmHelpMsg *
0035ed64	007fe048	3.0	Tz__MUMI__m_New	_ZN2Tz4MUMI5m_NewE	Tz::MUMI::m_New	dk::Sprite *
0035ed68	00b5fc70	4.0	Tz__MUMI__m_FadeWait	_ZN2Tz4MUMI10m_FadeWaitE	Tz::MUMI::m_FadeWait	BOOL_1
0035ed69	00b5fc71	3.0	Tz__MUMI__m_NewInfo	_ZN2Tz4MUMI9m_NewInfoE	Tz::MUMI::m_NewInfo	char
0035ed70	007fe050	7.0	Tz__TRTE__m_MenuPtr	_ZN2Tz4TRTE9m_MenuPtrE	Tz::TRTE::m_MenuPtr	Tz::Select *
0035ed78	007fe058	7.0	Tz__TRTE__m_Lay	_ZN2Tz4TRTE5m_LayE	Tz::TRTE::m_Lay	Tz::Layout *
0035ed7c	007fe05c	4.0	Tz__TRTE__m_LayBg2	_ZN2Tz4TRTE8m_LayBg2E	Tz::TRTE::m_LayBg2	Tz::Layout *
0035ed80	007fe060	5.0	Tz__TRTE__m_LayPic	_ZN2Tz4TRTE8m_LayPicE	Tz::TRTE::m_LayPic	Tz::Layout *
