ee_addr	ppc_addr	tier	mangled	demangled	c_ident	params	locals
00107288	000d9884	sim-sib-med	_ZN2kn6Camera6lookAtERKNS_7FVectorES3_S3_	kn::Camera::lookAt(kn::FVector const&, kn::FVector const&, kn::FVector const&)	kn__Camera__lookAt_3	const kn::FVector & pos, const kn::FVector & ref, const kn::FVector & up	
001072d0	000d9904	high	_ZN2kn6Camera6lookAtERKNS_7FVectorES3_	kn::Camera::lookAt(kn::FVector const&, kn::FVector const&)	kn__Camera__lookAt_2	const kn::FVector & pos, const kn::FVector & ref	
00107300	000d9964	med	_ZN2kn6Camera6lookAtERKNS_7FVectorES3_f	kn::Camera::lookAt(kn::FVector const&, kn::FVector const&, float)	kn__Camera__lookAt	const kn::FVector & pos, const kn::FVector & ref, float roll	
00107330	000d9ba8	seed	_ZN2kn6Camera11setPositionEfff	kn::Camera::setPosition(float, float, float)	kn__Camera__setPosition	float x, float y, float z	
00107340	000d9be0	seed	_ZN2kn6Camera12setReferenceEfff	kn::Camera::setReference(float, float, float)	kn__Camera__setReference	float x, float y, float z	
00107350	000d9c08	seed	_ZN2kn6Camera11setUpVectorEfff	kn::Camera::setUpVector(float, float, float)	kn__Camera__setUpVector	float x, float y, float z	
00107360	000d9c30	seed	_ZN2kn6Camera7setRollEf	kn::Camera::setRoll(float)	kn__Camera__setRoll	float roll	
00107368	000d9c38	high	_ZNK2kn6Camera11getPositionERNS_7FVectorE	kn::Camera::getPosition(kn::FVector&) const	kn__Camera__getPosition	kn::FVector & pos	
00107388	000d9c70	sim-sandwich	_ZNK2kn6Camera17getMatrixPositionEv	kn::Camera::getMatrixPosition() const	kn__Camera__getMatrixPosition		kn::FMatrix m; kn::FVector v
00107478	000d9e54	med	_ZNK2kn6Camera12getReferenceERNS_7FVectorE	kn::Camera::getReference(kn::FVector&) const	kn__Camera__getReference	kn::FVector & ref	
001074b8	000d9e84	seed	_ZNK2kn6Camera7getRollEv	kn::Camera::getRoll() const	kn__Camera__getRoll		
00107888	000da42c	high	_ZN2kn11camera_taskEP4TASK	kn::camera_task(TASK*)	kn__camera_task	TASK * task	
00107a90	0019b550	sim-high	_ZN2gb13PLAYER_CAMERA4execEv	gb::PLAYER_CAMERA::exec()	gb__PLAYER_CAMERA__exec		kn::Projection & projection; kn::Camera & camera; gb::PLAYER * player; gb::SCROLL & scroll; kn::FMatrix base; kn::FMatrix plane; kn::FMatrix rot; kn::FMatrix cam; kn::FVector pos; kn::FVector ref; kn::FVector up; kn::FVector v; float roty; float radius; float rot_diff; float rot_y_converge_rate; float rot_y_speed; float radius_converge_rate; float r; float speed; kn::FVector p; kn::FVector d; kn::FVector t; kn::FVector aim; float mileage; float f; kn::FMatrix m
00107d20	00124178	sim-med	_ZN2kn8ModelObj11drawShadow_ERKNS_16ProjectionCameraEPNS_9DrawParamEPsS3_S3_PPN2dk11ObjDrawListENS_11SHADOW_SIZEE	kn::ModelObj::drawShadow_(kn::ProjectionCamera const&, kn::DrawParam*, short*, kn::ProjectionCamera const&, kn::ProjectionCamera const&, dk::ObjDrawList**, kn::SHADOW_SIZE)	kn__ModelObj__drawShadow_	const kn::ProjectionCamera & prj_cam_root, kn::DrawParam * param, short * groupNoTbl, const kn::ProjectionCamera & texmapMatrix, const kn::ProjectionCamera & shadowMatrix, dk::ObjDrawList ** objs, kn::SHADOW_SIZE size	kn::VU1DrawContext & context; kn::ProjectionCamera mat; int frameId; bool ret; kn::DrawParam param2; dk::ObjDrawList ** obj; kn::FMatrix tmp; kn::ModelObj * mobj; kn::Model * mdl; bool ret
00108048	00117fb8	sim-low	_ZN2kn7VU1Draw12flush_ShadowEv	kn::VU1Draw::flush_Shadow()	kn__VU1Draw__flush_Shadow		UINT dbgDrawCount; u_int i; kn::DrawShadowQueue * que
00108080	00116410	sim-high	_ZN2kn5GSEnvC1Ev	kn::GSEnv::GSEnv()	kn__GSEnv__GSEnv		
001081c8	000da744	sim-low	__sti___10_camera_cpp_ce921689	__sti___10_camera_cpp_ce921689	__sti___10_camera_cpp_ce921689		
00108398	00118dc8	sim-med	_ZN2kn15SendImageStructC1Ev	kn::SendImageStruct::SendImageStruct()	kn__SendImageStruct__SendImageStruct		
001084f0	001165e8	sim-med	_ZN2kn16TextureEnvStructC1Ev	kn::TextureEnvStruct::TextureEnvStruct()	kn__TextureEnvStruct__TextureEnvStruct		
001085a8	001166f0	sim-med	_ZN2kn10PartsColor9setPacketEPNS_16Vif1PacketBufferEPh	kn::PartsColor::setPacket(kn::Vif1PacketBuffer*, unsigned char*)	kn__PartsColor__setPacket	kn::Vif1PacketBuffer * buffer, u_char * _rgba	u_int * color
00108698	00116a98	sim-med	_ZN2kn9DrawParamC1Ev	kn::DrawParam::DrawParam()	kn__DrawParam__DrawParam		
00108730	00116770	sim-med	_ZN2kn9DrawParam9setPacketEPNS_16Vif1PacketBufferE	kn::DrawParam::setPacket(kn::Vif1PacketBuffer*)	kn__DrawParam__setPacket	kn::Vif1PacketBuffer * buffer	u_int size; u_int * code; kn::VU1Param * param; kn::Projection & prj
00108930	00116a08	sim-med	_ZN2kn9DrawParam13getPartsColorEi	kn::DrawParam::getPartsColor(int)	kn__DrawParam__getPartsColor	int part	u_int part_bit; kn::PartsColor * partsColorPtr
00108998	00116b1c	sim-rerun-med	_ZN2kn14VU1DrawContext20setVU1DrawDefaultEnvEv	kn::VU1DrawContext::setVU1DrawDefaultEnv()	kn__VU1DrawContext__setVU1DrawDefaultEnv		
00108a10	00116bcc	sim-rerun-med	_ZN2kn14VU1DrawContext19setSystemDefaultEnvEv	kn::VU1DrawContext::setSystemDefaultEnv()	kn__VU1DrawContext__setSystemDefaultEnv		
00108ae0	00116cc8	sim-high	_ZN2kn14VU1DrawContext14setPacketForceEjyyyyyy	kn::VU1DrawContext::setPacketForce(unsigned int, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long)	kn__VU1DrawContext__setPacketForce	u_int enableFlag, ULONGLONG frame, ULONGLONG zbuf, ULONGLONG test, ULONGLONG alpha, ULONGLONG fogcol, ULONGLONG rgbaq	
00108c00	00116e68	sim-high	_ZN2kn14VU1DrawContext9setPacketEjyyyyyy	kn::VU1DrawContext::setPacket(unsigned int, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long)	kn__VU1DrawContext__setPacket	u_int enableFlag, ULONGLONG frame, ULONGLONG zbuf, ULONGLONG test, ULONGLONG alpha, ULONGLONG fogcol, ULONGLONG rgbaq	Axa::GS_SET_FRAME frame__
00108d68	00117050	sim-med	_ZN2kn14VU1DrawContext8setFRAMEEy	kn::VU1DrawContext::setFRAME(unsigned long long)	kn__VU1DrawContext__setFRAME	ULONGLONG frame	ULONGLONG ret
00108dd8	001170cc	sim-med	_ZN2kn14VU1DrawContext7setZBUFEy	kn::VU1DrawContext::setZBUF(unsigned long long)	kn__VU1DrawContext__setZBUF	ULONGLONG zbuf	ULONGLONG ret
00108e48	00117150	sim-med	_ZN2kn14VU1DrawContext7setTESTEy	kn::VU1DrawContext::setTEST(unsigned long long)	kn__VU1DrawContext__setTEST	ULONGLONG test	ULONGLONG ret
00108eb8	001171d4	sim-med	_ZN2kn14VU1DrawContext8setALPHAEy	kn::VU1DrawContext::setALPHA(unsigned long long)	kn__VU1DrawContext__setALPHA	ULONGLONG alpha	ULONGLONG ret
00108f98	0011725c	sim-med	_ZN2kn14VU1DrawContext8setRGBAQEy	kn::VU1DrawContext::setRGBAQ(unsigned long long)	kn__VU1DrawContext__setRGBAQ	ULONGLONG rgbaq	ULONGLONG ret
00109008	00116c80	sim-low	_ZN2kn14VU1DrawContext5flushEv	kn::VU1DrawContext::flush()	kn__VU1DrawContext__flush		
00109040	001172e0	sim-low	_ZNK2kn14VU1DrawContext8getFRAMEEv	kn::VU1DrawContext::getFRAME() const	kn__VU1DrawContext__getFRAME		
00109048	001172e8	sim-low	_ZNK2kn14VU1DrawContext7getZBUFEv	kn::VU1DrawContext::getZBUF() const	kn__VU1DrawContext__getZBUF		
00109050	001172f0	sim-low	_ZNK2kn14VU1DrawContext7getTESTEv	kn::VU1DrawContext::getTEST() const	kn__VU1DrawContext__getTEST		
00109058	001172f8	sim-low	_ZNK2kn14VU1DrawContext8getALPHAEv	kn::VU1DrawContext::getALPHA() const	kn__VU1DrawContext__getALPHA		
00109060	00117300	sim-low	_ZNK2kn14VU1DrawContext9getFOGCOLEv	kn::VU1DrawContext::getFOGCOL() const	kn__VU1DrawContext__getFOGCOL		
00109068	00117308	sim-low	_ZNK2kn14VU1DrawContext8getRGBAQEv	kn::VU1DrawContext::getRGBAQ() const	kn__VU1DrawContext__getRGBAQ		
001091c8	001184d0	sim-rerun-med	_ZN2kn7VU1Draw11allocBufferEP9ALLOCATORjj	kn::VU1Draw::allocBuffer(ALLOCATOR*, unsigned int, unsigned int)	kn__VU1Draw__allocBuffer	ALLOCATOR * allocator, u_int draw_obj_max, u_int packet_buffer_size	
00109280	001186d0	sim-rerun-med	_ZN2kn7VU1Draw10freeBufferEP9ALLOCATOR	kn::VU1Draw::freeBuffer(ALLOCATOR*)	kn__VU1Draw__freeBuffer	ALLOCATOR * allocator	
001093c8	001187ec	sim-med	_ZN2kn7VU1Draw13setModePacketEPNS_16Vif1PacketBufferEjjjjj	kn::VU1Draw::setModePacket(kn::Vif1PacketBuffer*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)	kn__VU1Draw__setModePacket	kn::Vif1PacketBuffer * buffer, u_int mode, u_int qwc, u_int param0, u_int param1, u_int param2	kn::VU1Param * xxx; kn::VU1ProgMode * modePacket; void * return_addr
00109450	0011a104	sim-low	_ZN2kn7VU1Draw11unlinkModelEPKNS_8ModelObjE	kn::VU1Draw::unlinkModel(kn::ModelObj const*)	kn__VU1Draw__unlinkModel	const kn::ModelObj * mobj	int i; kn::DrawQueue ** que
001094e0	001188a8	sim-low	_ZN2kn7VU1Draw9checkVRAMEPNS_15SendImagePacketEPv	kn::VU1Draw::checkVRAM(kn::SendImagePacket*, void*)	kn__VU1Draw__checkVRAM	kn::SendImagePacket * packet, void * id	int first_block; int last_block; int base; int w; int h; int psm; int page_num; void * return_addr
00109788	00118d50	sim-med	_ZN2kn7VU1Draw10entryImageEPNS_16Vif1PacketBufferEPNS_15SendImagePacketE	kn::VU1Draw::entryImage(kn::Vif1PacketBuffer*, kn::SendImagePacket*)	kn__VU1Draw__entryImage	kn::Vif1PacketBuffer * buffer, kn::SendImagePacket * packet	Axa::DMA_SET_TAG * dmaTag
001097e8	00118e48	sim-low	_ZN2kn7VU1Draw19makeSendImagePacketEPNS_15SendImagePacketEjjjjjjjPv	kn::VU1Draw::makeSendImagePacket(kn::SendImagePacket*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*)	kn__VU1Draw__makeSendImagePacket	kn::SendImagePacket * packet, u_int bp, u_int bw, u_int x, u_int y, u_int width, u_int height, u_int pixel_format, void * data	u_int nloop; u_int bp2; u_int height2; void * data2; u_int nloop2; Axa::DMA_SET_TAG * tag; kn::SendImageStruct * st; void * return_addr
00109c30	001193e4	sim-med	_ZN2kn7VU1Draw12getDrawQueueEv	kn::VU1Draw::getDrawQueue()	kn__VU1Draw__getDrawQueue		kn::DrawQueue * que; u_int i
00109cc0	0011948c	sim-low	_ZN2kn7VU1Draw13linkDrawQueueENS0_15DRAW_QUEUE_TYPEEPNS_9DrawQueueE	kn::VU1Draw::linkDrawQueue(kn::VU1Draw::DRAW_QUEUE_TYPE, kn::DrawQueue*)	kn__VU1Draw__linkDrawQueue	kn::VU1Draw::DRAW_QUEUE_TYPE type, kn::DrawQueue * que	void * return_addr; void * return_addr
00109d00	001195e4	sim-high	_ZN2kn7VU1Draw4drawEPNS_8ModelObjEPNS_9DrawParamEPNS_5ModelEPPN3Axa11DMA_SET_TAGEPc	kn::VU1Draw::draw(kn::ModelObj*, kn::DrawParam*, kn::Model*, Axa::DMA_SET_TAG**, char*)	kn__VU1Draw__draw	kn::ModelObj * mobj, kn::DrawParam * param, kn::Model * model, LPMODELDATA * tag, char * display_flag	kn::DrawQueue * que; kn::LightParam * lightParam; size_t property_size; void * return_addr; void * return_addr
00109e18	0011a258	sim-rerun-med	_ZN2kn7VU1Draw5closeEv	kn::VU1Draw::close()	kn__VU1Draw__close		u_int ret
00109e30	0011a27c	sim-rerun-med	_ZN2kn7VU1Draw4kickEb	kn::VU1Draw::kick(bool)	kn__VU1Draw__kick	bool flag	u_int ret
00109e90	0011a35c	sim-rerun-med	_ZN2kn7VU1Draw4waitEv	kn::VU1Draw::wait()	kn__VU1Draw__wait		
0010a7d8	0011828c	sim-rerun-high	_ZN2kn7VU1Draw11setFogColorEhhh	kn::VU1Draw::setFogColor(unsigned char, unsigned char, unsigned char)	kn__VU1Draw__setFogColor	u_char r, u_char g, u_char b	
0010a800	00116a74	sim-rerun-med	_ZN2kn7VU1Draw11getFogColorEPhS1_S1_	kn::VU1Draw::getFogColor(unsigned char*, unsigned char*, unsigned char*)	kn__VU1Draw__getFogColor	u_char * r, u_char * g, u_char * b	
0010a828	00118230	sim-rerun-high	_ZN2kn7VU1Draw11setFogRangeEff	kn::VU1Draw::setFogRange(float, float)	kn__VU1Draw__setFogRange	float near, float far	float distance
0010a8a8	00118208	sim-rerun-high	_ZN2kn7VU1Draw13setFogLimiterEff	kn::VU1Draw::setFogLimiter(float, float)	kn__VU1Draw__setFogLimiter	float min, float max	
0010a918	0011a9d0	sim-sib-high	_ZN2kn7VU1Draw9shadowEnvENS_11SHADOW_SIZEE	kn::VU1Draw::shadowEnv(kn::SHADOW_SIZE)	kn__VU1Draw__shadowEnv	kn::SHADOW_SIZE size	Axa::GS_SET_FRAME frame; GS_SET_ZBUF zbuf; Axa::GS_SET_XYOFFSET xyoffset; Axa::GS_SET_SCISSOR scissor; Axa::GS_SET_SCISSOR scissor2; kn::SimpleSprite * clearPacket; int frameId; Axa::GS_SET_SCISSOR resize; ULONGLONG test; ULONGLONG alpha; void * return_addr
0010ab08	0011ace8	sim-sib-med	_ZN2kn7VU1Draw17shadowTextureSoftENS_11SHADOW_SIZEE	kn::VU1Draw::shadowTextureSoft(kn::SHADOW_SIZE)	kn__VU1Draw__shadowTextureSoft	kn::SHADOW_SIZE size	
0010ab80	0011ad88	sim-rerun-med	_ZN2kn7VU1Draw19frameBuffer2TextureEv	kn::VU1Draw::frameBuffer2Texture()	kn__VU1Draw__frameBuffer2Texture		
0010abb8	0011adc0	sim-rerun-med	_ZN2kn7VU1Draw8setPhaseENS0_5PHASEE	kn::VU1Draw::setPhase(kn::VU1Draw::PHASE)	kn__VU1Draw__setPhase	kn::VU1Draw::PHASE phase	kn::VU1Draw::PHASE ret
0010ae90	0011add4	sim-rerun-high	_ZN2kn7VU1Draw10getContextEv	kn::VU1Draw::getContext()	kn__VU1Draw__getContext		
0010b468	000e0de8	sim-low	_ZN2kn14PositionBuffer5entryERKNS_7FVectorE	kn::PositionBuffer::entry(kn::FVector const&)	kn__PositionBuffer__entry	const kn::FVector & pos	int i; kn::FVector sub
0010b620	000de234	med	_ZN2kn6VecSet3setERKNS_7FVectorES3_	kn::VecSet::set(kn::FVector const&, kn::FVector const&)	kn__VecSet__set	const kn::FVector & target, const kn::FVector & pos	
0010c078	000e24f4	sim-high	_ZN2kn6FriendC1EPKN2YS8OBJENTRYERKNS_7FVectorEf	kn::Friend::Friend(YS::OBJENTRY const*, kn::FVector const&, float)	kn__Friend__Friend	const YS::OBJENTRY * entry, const kn::FVector & pos, float rot	int part; void * return_addr; void * return_addr; void * return_addr; void * return_addr
0010c778	000e3190	seed	_ZN2kn6Friend14getObjObserverEv	kn::Friend::getObjObserver()	kn__Friend__getObjObserver		
0010c7b0	000e31d8	sim-low	_ZN2kn6Friend17getEffectObserverEv	kn::Friend::getEffectObserver()	kn__Friend__getEffectObserver		
0010c7e8	000e3220	seed	_ZN2kn6Friend14getPersonalityEv	kn::Friend::getPersonality()	kn__Friend__getPersonality		
0010c7f0	000dcb9c	sim-low	_ZN2kn6Friend15_OVR_initializeEv	kn::Friend::_OVR_initialize()	kn__Friend___OVR_initialize		
0010c850	000ddcc8	sim-med	_ZN2kn6Friend13_OVR__destroyEv	kn::Friend::_OVR__destroy()	kn__Friend___OVR__destroy		
0010c8d8	000de1a4	sim-low	_ZN2kn6Friend18_OVR_force_destroyEv	kn::Friend::_OVR_force_destroy()	kn__Friend___OVR_force_destroy		
