ee_addr	ppc_addr	tier	mangled	demangled	c_ident	params	locals
0013b838	0004d900	sim-low	_ZN2dk12COMMAND_DRAW18initSpecialCommandEv	dk::COMMAND_DRAW::initSpecialCommand()	dk__COMMAND_DRAW__initSpecialCommand		int i
0013b988	0004a7bc	sim-low	_ZN2dk11COMMAND_ONE7destroyEv	dk::COMMAND_ONE::destroy()	dk__COMMAND_ONE__destroy		
0013b9e0	0004ca80	sim-low	_ZN2dk12COMMAND_DRAW11getTitleSeqEiiRbiRiS2_	dk::COMMAND_DRAW::getTitleSeq(int, int, bool&, int, int&, int&)	dk__COMMAND_DRAW__getTitleSeq	const int page, const int mode, bool & allRedraw, const int pageType, int & seq, int & nextSeq	
0013bc50	0004c0e0	med	_ZN2dk12COMMAND_DRAW15drawCurrentIconEPN2YS12COMMAND_MENUEiibjPKNS1_12COMMAND_ELEMEPNS_11COMMAND_ONEE	dk::COMMAND_DRAW::drawCurrentIcon(YS::COMMAND_MENU*, int, int, bool, unsigned int, YS::COMMAND_ELEM const*, dk::COMMAND_ONE*)	dk__COMMAND_DRAW__drawCurrentIcon	YS::COMMAND_MENU * menu, int page, int mode, bool current_reset, u_int fontColor, const YS::COMMAND_ELEM * elem, dk::COMMAND_ONE * current_com	dk::COMMAND_ONE * com; int PAGE_AB_ID; int ICON_ID
0013c080	0004c54c	sim-sandwich	_ZN2dk12COMMAND_DRAW13checkOverRideEPN2YS12COMMAND_SLOTEiiRbiRiS5_	dk::COMMAND_DRAW::checkOverRide(YS::COMMAND_SLOT*, int, int, bool&, int, int&, int&)	dk__COMMAND_DRAW__checkOverRide	YS::COMMAND_SLOT * slot, int page, int mode, bool & Redraw, int kind, int & ID, int & NEXTID	
0013c190	0004c6b0	med	_ZN2dk12COMMAND_DRAW11drawCurrentEPN2YS12COMMAND_MENUEiibiiiPNS1_12COMMAND_SLOTE	dk::COMMAND_DRAW::drawCurrent(YS::COMMAND_MENU*, int, int, bool, int, int, int, YS::COMMAND_SLOT*)	dk__COMMAND_DRAW__drawCurrent	YS::COMMAND_MENU * menu, int page, int mode, bool allRedraw, int pageType, int currentX, int currentY, YS::COMMAND_SLOT * slot	const YS::COMMAND_ELEM * elem; u_char status; const int CURRENT; u_int fontColor; bool current_reset; int ID; int NEXTID; dk::COMMAND_ONE * current_com; void * return_addr; void * return_addr
0013c3b8	0004cb60	sim-high	_ZN2dk12COMMAND_DRAW15drawCommandPageEPN2YS12COMMAND_MENUEiib	dk::COMMAND_DRAW::drawCommandPage(YS::COMMAND_MENU*, int, int, bool)	dk__COMMAND_DRAW__drawCommandPage	YS::COMMAND_MENU * menu, int page, int mode, bool allRedraw	dk::COMMAND_ONE * com; const YS::COMMAND_ELEM * elem; int currentX; int currentY; int ID; u_char status; const int pageType; int offset_x_base; int ypos; int i; int NEXTID; bool old_reset; int place
0013c738	0004d270	med	_ZN2dk12COMMAND_DRAW15is_Command_SkipEv	dk::COMMAND_DRAW::is_Command_Skip()	dk__COMMAND_DRAW__is_Command_Skip		YS::OBJ * player
0013c7d0	0004d350	med	_ZN2dk12COMMAND_DRAW13isCommandSkipEv	dk::COMMAND_DRAW::isCommandSkip()	dk__COMMAND_DRAW__isCommandSkip		
0013c8b0	0004d008	seed	_ZN2dk12COMMAND_DRAW19isInsertSkipCommandEv	dk::COMMAND_DRAW::isInsertSkipCommand()	dk__COMMAND_DRAW__isInsertSkipCommand		YS::COMMAND_MENU * menu; void * return_addr
0013c938	0004dda8	sim-high	_ZN2dk12COMMAND_DRAW6updateEv	dk::COMMAND_DRAW::update()	dk__COMMAND_DRAW__update		const int mode; bool allRedraw; YS::COMMAND_MENU * menu; const int depth; int i; void * return_addr; int column; int i; int i
0013cb30	0004b2b4	seed	_ZN2dk12COMMAND_DRAW6getSqdEv	dk::COMMAND_DRAW::getSqd()	dk__COMMAND_DRAW__getSqd		void * return_addr; void * return_addr
0013cb90	0004b46c	seed	_ZN2dk12COMMAND_DRAW15getShortCutTypeEv	dk::COMMAND_DRAW::getShortCutType()	dk__COMMAND_DRAW__getShortCutType		void * return_addr
0013cbb8	0004d538	sim-high	_ZN2dk12COMMAND_DRAW8shortCutEPN2YS12COMMAND_MENUEb	dk::COMMAND_DRAW::shortCut(YS::COMMAND_MENU*, bool)	dk__COMMAND_DRAW__shortCut	YS::COMMAND_MENU * menu, bool allRedraw	const YS::COMMAND_ELEM * elem; int page; int ID; u_int fontColor; u_char status; const int sccomType; int offset_x_base; int title_seq; int ypos; int i; const int button; void * return_addr; int i
0013ce08	0004bb20	med	_ZN2dk12COMMAND_DRAW5recomEi	dk::COMMAND_DRAW::recom(int)	dk__COMMAND_DRAW__recom	const int num	const int REACTION_Y; const int sccomType; int REACTION_INSERT; YS::COMMAND_ELEM * elem; dk::COMMAND_ONE * com; YS::COMMAND_SLOT & slot; const int irecom; const u_char status; bool reset; INT xOffset16x9; dk::ReactionDecideSprite * sp; dk::SpriteImage * image; void * return_addr; dk::ReactionDecideSprite * psp
0013d3f8	0004d3a8	sim-med	_ZN2dk12COMMAND_DRAW6drawBGEv	dk::COMMAND_DRAW::drawBG()	dk__COMMAND_DRAW__drawBG		
0013d498	0004ee8c	seed	_ZN2dk12COMMAND_DRAW16isSpecialCommandEv	dk::COMMAND_DRAW::isSpecialCommand()	dk__COMMAND_DRAW__isSpecialCommand		
0013d550	0004eba8	med	_ZN2dk12COMMAND_DRAW22setSpecialCommandImageEPvS1_	dk::COMMAND_DRAW::setSpecialCommandImage(void*, void*)	dk__COMMAND_DRAW__setSpecialCommandImage	void * imd, void * sqd	YI::IMAGE * yiimage; dk::SpriteImage * image
0013d620	0004da40	med	_ZN2dk12COMMAND_DRAW24resetSpecialCommandImageEv	dk::COMMAND_DRAW::resetSpecialCommandImage()	dk__COMMAND_DRAW__resetSpecialCommandImage		void * sqd; dk::SpriteImage * image; void * return_addr
0013d6b0	0004ed1c	high	_ZN2dk12COMMAND_DRAW15setCommandImageEPvS1_	dk::COMMAND_DRAW::setCommandImage(void*, void*)	dk__COMMAND_DRAW__setCommandImage	void * imd, void * sqd	dk::SpriteImage * image
0013d750	0004dbd8	med	_ZN2dk12COMMAND_DRAW21resetCommandImageTaskEP4TASK	dk::COMMAND_DRAW::resetCommandImageTask(TASK*)	dk__COMMAND_DRAW__resetCommandImageTask	TASK * task	
0013d798	0004ee54	med	_ZN2dk12COMMAND_DRAW17resetCommandImageEv	dk::COMMAND_DRAW::resetCommandImage()	dk__COMMAND_DRAW__resetCommandImage		
0013d7d0	0004d8f0	med	_ZN2dk12COMMAND_DRAW11resetBGskipEv	dk::COMMAND_DRAW::resetBGskip()	dk__COMMAND_DRAW__resetBGskip		
0013d7e0	000554c0	seed	_ZN2dk10GAUGE_DRAW8getImageEv	dk::GAUGE_DRAW::getImage()	dk__GAUGE_DRAW__getImage		void * return_addr
0013d7f0	00055560	seed	_ZN2dk10GAUGE_DRAW10getFriend1Ev	dk::GAUGE_DRAW::getFriend1()	dk__GAUGE_DRAW__getFriend1		
0013d820	0005463c	high	_ZN2dk10GAUGE_DRAW4initEv	dk::GAUGE_DRAW::init()	dk__GAUGE_DRAW__init		YS::OBJ * obj
0013d9e0	000551a8	med	_ZN2dk10GAUGE_DRAW4exitEv	dk::GAUGE_DRAW::exit()	dk__GAUGE_DRAW__exit		
0013dad0	00055428	sim-rerun-med	_ZN2dk10GAUGE_DRAW7drawEndEv	dk::GAUGE_DRAW::drawEnd()	dk__GAUGE_DRAW__drawEnd		
0013daf8	000552f4	high	_ZN2dk10GAUGE_DRAW2onEv	dk::GAUGE_DRAW::on()	dk__GAUGE_DRAW__on		
0013db60	000545b0	med	_ZN2dk10GAUGE_DRAW3offEv	dk::GAUGE_DRAW::off()	dk__GAUGE_DRAW__off		
0013dbb0	00055578	seed	_ZN2dk10GAUGE_DRAW13checkAlertOffEv	dk::GAUGE_DRAW::checkAlertOff()	dk__GAUGE_DRAW__checkAlertOff		
0013dc08	00053750	sim-sib-med	_ZN2dk5GAUGE8psetFlagEii	dk::GAUGE::psetFlag(int, int)	dk__GAUGE__psetFlag	int type, int flag	void * return_addr
0013dd28	00053c68	seed	_ZN2dk5GAUGE4initEv	dk::GAUGE::init()	dk__GAUGE__init		
0013dda0	00053bb8	seed	_ZN2dk5GAUGE6getObjEi	dk::GAUGE::getObj(int)	dk__GAUGE__getObj	int type	
0013ddc0	00053ca8	med	_ZN2dk5GAUGE6createEiPN2YS3OBJE	dk::GAUGE::create(int, YS::OBJ*)	dk__GAUGE__create	int type, YS::OBJ * obj	
0013def8	00053e3c	med	_ZN2dk5GAUGE4cureEPN2YS3OBJE	dk::GAUGE::cure(YS::OBJ*)	dk__GAUGE__cure	YS::OBJ * obj	int type
0013dfb8	00063fd8	seed	_ZN2dk11SECTOR_MASK6createEiii	dk::SECTOR_MASK::create(int, int, int)	dk__SECTOR_MASK__create	int pri, int group, INT inXoffset16x9	
0013e028	00063ee0	sim-high	_ZN2dk11SECTOR_MASK4drawEv	dk::SECTOR_MASK::draw()	dk__SECTOR_MASK__draw		int posx; int posy; int parentx; int parenty; int x; int y; short mx; short my
0013e0f8	00064230	med	_ZN2dk11CIRCLE_MASK6createEiiii	dk::CIRCLE_MASK::create(int, int, int, int)	dk__CIRCLE_MASK__create	int pri, int type, int group, INT inXoffset16x9	
0013e1c8	00064104	sim-high	_ZN2dk11CIRCLE_MASK4drawEv	dk::CIRCLE_MASK::draw()	dk__CIRCLE_MASK__draw		int posx; int posy; int parentx; int parenty; int x; int y; short bx; short by
0013e2d8	0005ec94	sim-high	_ZN2dk6LockOn5startEi	dk::LockOn::start(int)	dk__LockOn__start	int num	dk::LockOn * lockon; void * return_addr
0013e378	0005e90c	sim-vt-med	_ZN2dk6LockOn7destroyEv	dk::LockOn::destroy()	dk__LockOn__destroy		
0013e3b0	0005eb28	high	_ZN2dk6LockOn6setPosERKN2kn7FVectorE	dk::LockOn::setPos(kn::FVector const&)	dk__LockOn__setPos	RCFVector pos	
0013e410	0005ea80	high	_ZN2dk6LockOn11updateScaleEv	dk::LockOn::updateScale()	dk__LockOn__updateScale		float base; float scale
0013e470	0005eacc	high	_ZN2dk6LockOn6updateEv	dk::LockOn::update()	dk__LockOn__update		
0013e4b8	0005eb90	high	_ZN2dk6LockOn3endEv	dk::LockOn::end()	dk__LockOn__end		
0013e520	0005ec08	seed	_ZN2dk6LockOn9drawMedalEb	dk::LockOn::drawMedal(bool)	dk__LockOn__drawMedal	bool showFlag	
0013e5a8	0005ee74	sim-high	_ZN2dk6LockOn6changeEv	dk::LockOn::change()	dk__LockOn__change		
0013e678	0005f408	seed	_ZN2dk6LockOn10getYIImageEv	dk::LockOn::getYIImage()	dk__LockOn__getYIImage		
0013e688	0005ef34	high	_ZN2dk6LockOn4initEv	dk::LockOn::init()	dk__LockOn__init		ALLOCATOR * allocator; void * return_addr; void * return_addr
0013e808	0005f2c0	med	_ZN2dk6LockOn4exitEv	dk::LockOn::exit()	dk__LockOn__exit		
0013e890	0005ef0c	seed	_ZN2dk6LockOn4showEv	dk::LockOn::show()	dk__LockOn__show		
0013e8a8	0005f41c	sim-low	_ZN2dk6LockOn4hideEv	dk::LockOn::hide()	dk__LockOn__hide		
0013e900	0009d4a4	sim-low	_ZN2dk3Ft4C1Ev	dk::Ft4::Ft4()	dk__Ft4__Ft4		
0013e940	0009d200	sim-high	_ZN2dk7Ft4Base12createPacketEv	dk::Ft4Base::createPacket()	dk__Ft4Base__createPacket		
0013ea50	0009cdc8	sim-med	_ZN2dk7Ft4Base7calcRotERKN2kn7FMatrixERKNS1_7FVectorERiS8_	dk::Ft4Base::calcRot(kn::FMatrix const&, kn::FVector const&, int&, int&)	dk__Ft4Base__calcRot	RCFMatrix matrix, RCFVector _vec, int & x, int & y	kn::FVector vec
0013eb00	0009cee8	sim-high	_ZN2dk7Ft4Base7calcXYZEv	dk::Ft4Base::calcXYZ()	dk__Ft4Base__calcXYZ		int x_min; int x_max; int y_min; int y_max; int x; int y; kn::FMatrix matrix; kn::FVector vec
0013edd0	0009d454	seed	_ZN2dk7Ft4Base6setRotEf	dk::Ft4Base::setRot(float)	dk__Ft4Base__setRot	const float rot	
0013edd8	0009d45c	med	_ZNK2dk7Ft4Base6getRotEv	dk::Ft4Base::getRot() const	dk__Ft4Base__getRot		
0013ede0	0009d40c	seed	_ZN2dk7Ft4Base11setCenterXYEii	dk::Ft4Base::setCenterXY(int, int)	dk__Ft4Base__setCenterXY	const int centerx, const int centery	
0013ee18	0009d494	seed	_ZN2dk7Ft4Base9setGsTestEy	dk::Ft4Base::setGsTest(unsigned long long)	dk__Ft4Base__setGsTest	const ULONGLONG test	
0013ee28	0009d464	seed	_ZN2dk7Ft4Base9setGsTex0Ey	dk::Ft4Base::setGsTex0(unsigned long long)	dk__Ft4Base__setGsTex0	const ULONGLONG tex0	
0013ee30	0009d474	med	_ZN2dk7Ft4Base9setGsTex1Ey	dk::Ft4Base::setGsTex1(unsigned long long)	dk__Ft4Base__setGsTex1	const ULONGLONG tex1	
0013ee38	0009d484	seed	_ZN2dk7Ft4Base9setGsPrimEy	dk::Ft4Base::setGsPrim(unsigned long long)	dk__Ft4Base__setGsPrim	const ULONGLONG prim	
0013ee40	0009d41c	seed	_ZN2dk7Ft4Base7setGsUVEyyyy	dk::Ft4Base::setGsUV(unsigned long long, unsigned long long, unsigned long long, unsigned long long)	dk__Ft4Base__setGsUV	const ULONGLONG uv0, const ULONGLONG uv1, const ULONGLONG uv2, const ULONGLONG uv3	
0013eeb8	000854c0	sim-low	_ZN2dk3Ft410drawPacketEv	dk::Ft4::drawPacket()	dk__Ft4__drawPacket		UINT color; BOOL rotFlg; Axa::GS::GSTCVERTEX * pVertex
0013ef80	00059598	sim-rerun-high	_ZN2dk10JumpEffect10outIsExistEv	dk::JumpEffect::outIsExist()	dk__JumpEffect__outIsExist		
0013ef90	00059114	seed	_ZN2dk10JumpEffect12outInit_taskEP4TASK	dk::JumpEffect::outInit_task(TASK*)	dk__JumpEffect__outInit_task	TASK * self	
0013efe8	0005906c	med	_ZN2dk10JumpEffect7outInitEv	dk::JumpEffect::outInit()	dk__JumpEffect__outInit		
0013f020	000590e0	seed	_ZN2dk10JumpEffect8outFinalEv	dk::JumpEffect::outFinal()	dk__JumpEffect__outFinal		
0013f030	00055cd4	seed	_ZN2dk20clearDrawFrameEnableEv	dk::clearDrawFrameEnable()	dk__clearDrawFrameEnable		
0013f048	0031ade8	seed	_ZN2Tz8DbgSMenu10SignalCallEv	Tz::DbgSMenu::SignalCall()	Tz__DbgSMenu__SignalCall		
0013f160	000595b4	seed	_ZN2dk10JumpEffect8outClearEv	dk::JumpEffect::outClear()	dk__JumpEffect__outClear		
0013f198	000595f8	sim-rerun-med	_ZN2dk19FadeBlackJumpEffect18jumpEffectOut_taskEP4TASK	dk::FadeBlackJumpEffect::jumpEffectOut_task(TASK*)	dk__FadeBlackJumpEffect__jumpEffectOut_task	TASK * task	
0013f230	0005917c	sim-high	_ZN2dk10JumpEffect3outEj	dk::JumpEffect::out(unsigned int)	dk__JumpEffect__out	u_int effectType	
0013f288	000593b0	sim-high	_ZN2dk10JumpEffect2inEv	dk::JumpEffect::in()	dk__JumpEffect__in		
0013f450	00059798	seed	_ZN2dk14StopJumpEffect17jumpEffectIn_taskEP4TASK	dk::StopJumpEffect::jumpEffectIn_task(TASK*)	dk__StopJumpEffect__jumpEffectIn_task	TASK * task	
0013f5f0	000675c0	med	_ZN2dk9ObjCamera17setDefaultFovRollEv	dk::ObjCamera::setDefaultFovRoll()	dk__ObjCamera__setDefaultFovRoll		
0013f888	00066ec0	med	_ZN2dk9ObjCamera13calcEyeTargetERKN2kn7FVectorEb	dk::ObjCamera::calcEyeTarget(kn::FVector const&, bool)	dk__ObjCamera__calcEyeTarget	const kn::FVector & atTarget, bool quick	float x; float eyeHeight; kn::FVector dir; kn::FMatrix rot; float speed
0013f9e0	00067900	high	_ZN2dk9ObjCamera9collisionERKN2kn7FVectorES4_RS2_bb	dk::ObjCamera::collision(kn::FVector const&, kn::FVector const&, kn::FVector&, bool, bool)	dk__ObjCamera__collision_2	const kn::FVector & eyeTargetPrev, const kn::FVector & atTarget, kn::FVector & eyeTarget, bool blindCheck, bool dangle	u_short polyid; kn::FVector crossPoint; bool ret; bool ceilingHit; dk::ObjOcc * hitocc; dk::Line line; kn::FVector normal; int kind; float extrude; float extrude_size; float extrude_ceiling_size; kn::FVector dir; dk::Line acline; dk::Ray acray; dk::Line newline
0013fca8	00067d98	seed	_ZN2dk9ObjCamera9collisionEv	dk::ObjCamera::collision()	dk__ObjCamera__collision		
0013fcd8	004b7534	seed	_ZN2YS19trap_vector_atan_xzEP8BD_VALUE	YS::trap_vector_atan_xz(BD_VALUE*)	YS__trap_vector_atan_xz	BD_VALUE * args	kn::FVector * v
0013fd78	00066598	seed	_ZN2dk9ObjCamera10initRadiusEv	dk::ObjCamera::initRadius()	dk__ObjCamera__initRadius		
0013fd90	000665a4	seed	_ZN2dk9ObjCamera14initLockRadiusEv	dk::ObjCamera::initLockRadius()	dk__ObjCamera__initLockRadius		
0013fdf0	000668f8	med	_ZN2dk9ObjCamera15objectiveUpDownEPN2YS3PADEf	dk::ObjCamera::objectiveUpDown(YS::PAD*, float)	dk__ObjCamera__objectiveUpDown	YS::PAD * pad, float frameTime	
0013ff08	000669d8	med	_ZN2dk9ObjCamera17objective_controlEPN2YS3PADEf	dk::ObjCamera::objective_control(YS::PAD*, float)	dk__ObjCamera__objective_control	YS::PAD * pad, float frameTime	bool quick
001400b0	00067f98	sim-low	_ZN2dk9ObjCamera10springDampERKN2kn7FVectorES4_S4_ffff	dk::ObjCamera::springDamp(kn::FVector const&, kn::FVector const&, kn::FVector const&, float, float, float, float)	dk__ObjCamera__springDamp	RCFVector currPos, const kn::FVector & trgPos, const kn::FVector & prevTrgPos, const float deltaTime, const float springConst, const float dampConst, const float springLen	kn::FVector disp; kn::FVector velocity; float forceMag; const float dispLength
00140210	00066768	sim-med	_ZN2dk9ObjCamera11auto_cameraEPN2YS3PADEf	dk::ObjCamera::auto_camera(YS::PAD*, float)	dk__ObjCamera__auto_camera	YS::PAD * pad, float frameTime	float temp; const float speed; float turn_speed
00140480	00067138	med	_ZN2dk9ObjCamera12calcAtTargetEv	dk::ObjCamera::calcAtTarget()	dk__ObjCamera__calcAtTarget		kn::FVector crossPoint; u_short polyid; dk::ObjOcc * hitocc; dk::Line wline
00140500	00066c44	high	_ZN2dk9ObjCamera14calcSubjectiveEv	dk::ObjCamera::calcSubjective()	dk__ObjCamera__calcSubjective		kn::FVector dir; kn::FMatrix rot
00140618	00067370	med	_ZN2dk9ObjCamera18subjective_controlEPN2YS3PADE	dk::ObjCamera::subjective_control(YS::PAD*)	dk__ObjCamera__subjective_control	YS::PAD * pad	float frameTime
001408a0	00068258	med	_ZN2dk9ObjCamera9setCameraEb	dk::ObjCamera::setCamera(bool)	dk__ObjCamera__setCamera	bool always	float delta; const float speed; kn::Projection & proj; kn::Camera & camera
00140b68	000687a8	high	_ZN2dk9ObjCamera6updateEb	dk::ObjCamera::update(bool)	dk__ObjCamera__update	bool always	dk::Line wline; kn::FVector crossPoint; u_short polyid; dk::ObjOcc * hitocc; dk::Line waline
00140cc8	00068ee0	seed	_ZN2dk11camera_taskEP4TASK	dk::camera_task(TASK*)	dk__camera_task	TASK * self	
00140ce8	00068c40	seed	_ZN2dk9ObjCamera10createTaskEv	dk::ObjCamera::createTask()	dk__ObjCamera__createTask		
00140d38	00068ca0	seed	_ZN2dk9ObjCamera6createEPN2YS3OBJEi	dk::ObjCamera::create(YS::OBJ*, int)	dk__ObjCamera__create	YS::OBJ * obj, int type	
00140db0	00068d34	sim-sib-med	_ZN2dk9ObjCamera7destroyEv	dk::ObjCamera::destroy()	dk__ObjCamera__destroy		
00140dc0	000672a4	seed	_ZN2dk9ObjCamera7getModeEv	dk::ObjCamera::getMode()	dk__ObjCamera__getMode		
00140dd0	000685d0	seed	_ZN2dk9ObjCamera10returnModeEv	dk::ObjCamera::returnMode()	dk__ObjCamera__returnMode		
00140df0	00068d7c	seed	_ZN2dk9ObjCamera11getInstanceEv	dk::ObjCamera::getInstance()	dk__ObjCamera__getInstance		
00140f10	00068c28	seed	_ZN2dk9ObjCamera7setWarpEv	dk::ObjCamera::setWarp()	dk__ObjCamera__setWarp		
00140f20	00068c34	med	_ZN2dk9ObjCamera7setHomeEv	dk::ObjCamera::setHome()	dk__ObjCamera__setHome		
00140f30	0008cd94	seed	_ZN2dk12CannonCamera6updateEPNS_9ObjCameraE	dk::CannonCamera::update(dk::ObjCamera*)	dk__CannonCamera__update	dk::ObjCamera * objCamera	const kn::FMatrix & rmat
00141010	000672f0	high	_ZN2dk9ObjCamera16cancelSubjectiveEf	dk::ObjCamera::cancelSubjective(float)	dk__ObjCamera__cancelSubjective	float time	
00141070	00068ea4	seed	_ZN2dk9ObjCamera6getFovEv	dk::ObjCamera::getFov()	dk__ObjCamera__getFov		
00141438	0008f550	sim-low	_ZN2dk11OctCollFileC1EPvy	dk::OctCollFile::OctCollFile(void*, unsigned long long)	dk__OctCollFile__OctCollFile	void * octCollFile, ULONGLONG groupOnBit	kn::FMatrix matrix; float length; const int MAX; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; void * return_addr; int i; dk::Attr & attr; int i
00141778	00091c48	sim-med	_ZN2dk11OctCollFile14isExistPolygonEt	dk::OctCollFile::isExistPolygon(unsigned short)	dk__OctCollFile__isExistPolygon	const u_short polyId	const int MAX; dk::CollInfo * collinfo; int i
00141970	0008f534	sim-low	_ZNK2dk11OctCollFile10getBoxTypeEv	dk::OctCollFile::getBoxType() const	dk__OctCollFile__getBoxType		
00141980	000910b0	seed	_ZN2dk11OctCollFile29sethitCollPolygonTableAddressEPt	dk::OctCollFile::sethitCollPolygonTableAddress(unsigned short*)	dk__OctCollFile__sethitCollPolygonTableAddress	u_short * adrs	void * return_addr
00141988	0008ec84	sim-med	_ZN2dk11OctCollFile13createPolygonERKNS_11CollPolygonERNS_7PolygonE	dk::OctCollFile::createPolygon(dk::CollPolygon const&, dk::Polygon&)	dk__OctCollFile__createPolygon	const dk::CollPolygon & polygon, dk::Polygon & poly	int vertexId; void * return_addr; void * return_addr; void * return_addr; void * return_addr
00141c18	0009026c	seed	_ZN2dk11OctCollFile13setSelectMaskEjjbb	dk::OctCollFile::setSelectMask(unsigned int, unsigned int, bool, bool)	dk__OctCollFile__setSelectMask	u_int mask, u_int maskValue, bool notflag, bool checkWaterSuface	
00141c38	0009096c	sim-high	_ZN2dk11OctCollFile13selectPolygonEiRNS_7SAabboxERti	dk::OctCollFile::selectPolygon(int, dk::SAabbox&, unsigned short&, int)	dk__OctCollFile__selectPolygon	int node_id, dk::SAabbox & sbox, u_short & tableId, int collcharacter	dk::CollNode & node; const int MAX; void * return_addr; void * return_addr; int i; dk::CollInfo & collInfo; const int PMAX; void * return_addr; void * return_addr; int j; dk::CollPolygon & polygon; dk::Attr & attr; const u_short boxid; void * return_addr; void * return_addr; void * return_addr; void * return_addr; int i; const short child
00141e78	0008eee0	sim-med	_ZN2dk11OctCollFile19getLineCrossPolygonERNS_3RayEiRN2kn7FVectorE	dk::OctCollFile::getLineCrossPolygon(dk::Ray&, int, kn::FVector&)	dk__OctCollFile__getLineCrossPolygon	dk::Ray & ray, int count, kn::FVector & crossPoint	float leng; float distance; u_short onPolyId; kn::FVector cross; dk::Polygon poly; void * return_addr; void * return_addr; int j; const int polyId; dk::CollPolygon & polygon; dk::Plane & plane; void * return_addr; void * return_addr; dk::Line newline; void * return_addr; void * return_addr
00141ff0	00091154	sim-med	_ZN2dk11OctCollFile13intersectLineERNS_4LineERN2kn7FVectorERti	dk::OctCollFile::intersectLine(dk::Line&, kn::FVector&, unsigned short&, int)	dk__OctCollFile__intersectLine	dk::Line & line, kn::FVector & crossPoint, u_short & polyid, int collcharacter	dk::Line templine; dk::Ray ray; dk::Aabbox lineBox; dk::SAabbox sbox; u_short tableId; u_short[1024] collInfoTable; void * return_addr
00142208	00091f70	sim-med	_ZN2dk11OctCollFile10getPolygonEt	dk::OctCollFile::getPolygon(unsigned short)	dk__OctCollFile__getPolygon	const u_short polyid	dk::CollPolygon & polygon; void * return_addr; void * return_addr
001422a0	00091cdc	sim-low	_ZN2dk11OctCollFile9getNormalEt	dk::OctCollFile::getNormal(unsigned short)	dk__OctCollFile__getNormal	const u_short polyid	dk::CollPolygon & polygon; kn::FMatrix matrix; void * return_addr; void * return_addr; void * return_addr
00142398	000920d0	seed	_ZN2dk11OctCollFile7getAttrEt	dk::OctCollFile::getAttr(unsigned short)	dk__OctCollFile__getAttr	const u_short polyid	dk::CollPolygon & polygon; void * return_addr; void * return_addr; void * return_addr
001423c0	00092420	sim-med	_ZN2dk11OctCollFile9getVertexEtPN2kn7FVectorE	dk::OctCollFile::getVertex(unsigned short, kn::FVector*)	dk__OctCollFile__getVertex	const u_short polyid, kn::FVector * out	dk::Polygon poly; dk::CollPolygon & polygon; const int vertexNum; void * return_addr; int i; int i
00142688	000917c8	sim-med	_ZN2dk11OctCollFile12getOnPolygonERfiPNS_14CollisionParamE	dk::OctCollFile::getOnPolygon(float&, int, dk::CollisionParam*)	dk__OctCollFile__getOnPolygon	float & nearY, int count, dk::CollisionParam * param	float leng; u_short onPolyId; kn::FVector pos; kn::FVector centerpos; dk::Polygon poly; void * return_addr; int j; const int polyId; dk::CollPolygon & polygon; dk::Plane & plane; float newY; float lengTemp; void * return_addr; void * return_addr; void * return_addr; void * return_addr
00142848	000916e8	high	_ZN2dk11OctCollFile20selectDownAllPolygonEPNS_14CollisionParamE	dk::OctCollFile::selectDownAllPolygon(dk::CollisionParam*)	dk__OctCollFile__selectDownAllPolygon	dk::CollisionParam * param	dk::Aabbox dbox; dk::SAabbox sbox; u_short tableId
00142b70	00090090	med	_ZN2dk11OctCollFile13isSmallMatrixEv	dk::OctCollFile::isSmallMatrix()	dk__OctCollFile__isSmallMatrix		
00142bf8	0009012c	sim-med	_ZN2dk11OctCollFile15createPolygonSeEv	dk::OctCollFile::createPolygonSe()	dk__OctCollFile__createPolygonSe		int i; dk::CollPolygon & polygon; dk::Attr & attr; void * return_addr
00142c90	0006be64	sim-high	_ZN2dk6Octree6createEPNS_7MapFileEP9ALLOCATORby	dk::Octree::create(dk::MapFile*, ALLOCATOR*, bool, unsigned long long)	dk__Octree__create	dk::MapFile * mapfile, ALLOCATOR * allocator, bool spotBlend, ULONGLONG groupOnBit	int colorGroup
00142f50	0006c3fc	sim-high	_ZN2dk6Octree7destroyEv	dk::Octree::destroy()	dk__Octree__destroy		
001431e8	0006ee10	sim-low	_ZN2dk6Octree7showSkyEv	dk::Octree::showSky()	dk__Octree__showSky		void * return_addr
00143268	0006f5a8	sim-rerun-med	_ZN2dk6Octree10setSkipAllEv	dk::Octree::setSkipAll()	dk__Octree__setSkipAll		
001432a8	0006f5d0	sim-rerun-med	_ZN2dk6Octree11wallClipOffEv	dk::Octree::wallClipOff()	dk__Octree__wallClipOff		
001432f0	0006f440	sim-low	_ZN2dk6Octree8setColorEhhh	dk::Octree::setColor(unsigned char, unsigned char, unsigned char)	dk__Octree__setColor	u_char r, u_char g, u_char b	void * return_addr
00143348	0006c824	sim-low	_ZN2dk6Octree14findDrawObjectEPNS_11ObjDrawListE	dk::Octree::findDrawObject(dk::ObjDrawList*)	dk__Octree__findDrawObject	dk::ObjDrawList * obj	int near_depth; int node_id; void * return_addr
