# addr	current_symbol_in_src	e3_name
0022f200	func_0022f200	_ZN2sa5EVENT13set_bgcol_seqERNS_13BIN_BGCOL_SEQEP4TASK
00231948	func_00231948	_ZN2sa5EVENT21set_bin_seq_crossfadeERNS_17BIN_SEQ_CROSSFADEEP4TASK
002347d8	func_002347d8	_ZN2YI5MCARD13GetResultReadEv
002369a0	func_002369a0	_ZN2YI12IMAGE_FREEZEC1Ev
0023eae0	func_0023eae0	_ZN2Tz7MenuObj14SetHidePartAllEiii
0023eb50	func_0023eb50	_ZN2Tz7MenuObj11SetHidePartEii
00240bd0	func_00240bd0	_ZN2Tz5MCard6GetPosEv
00276dc0	func_00276dc0	_ZN2Tz6Jiminy11FadeOutHelpEv
0028db48	func_0028db48	_ZN2Tz8MenuUtil10SprtIsLoopEPN2dk6SpriteE
00290368	func_00290368	_ZN2Tz8TimeDraw6CreateEiPvPN2YI5IMAGEEi
00297e00	func_00297e00	_ZN2Tz7JmAlbum8LeaveAllEi
0029ee38	func_0029ee38	_ZN2Tz7JmAnsem8LeaveAllEv
002a7490	func_002a7490	_ZN2Tz8JmSynthe14isEnableRecipeEv
002bcfa0	func_002bcfa0	_ZN7SE_BANK13objectDestroyEv
002bea00	func_002bea00	_ZN8worldmap7Manager14readPackEnableEv
002ca6f8	func_002ca6f8	_ZN2dk11WM_GLANDING19drawSelectDepartureEv
002cf308	func_002cf308	_ZN2Ti5MGObj15get_prize_countEi
002d0b88	func_002d0b88	_ZN2Ti5MGObj10set_matrixERKN2kn7FMatrixE
002d0bd8	func_002d0bd8	_ZN2Ti5MGObj10set_matrixEPN2YS3OBJERKN2kn7FMatrixE
002d7420	func_002d7420	_ZN2Ti12MGHachimitsu20show_course_bg_groupEv
002d8110	func_002d8110	_ZN2Ti12MGHachimitsu25get_current_center_matrixEv
002dd4a8	func_002dd4a8	_ZN2Ti6MGJump15add_combo_countEi
002dd4f8	func_002dd4f8	_ZN2Ti6MGJump17reset_combo_countEv
0031ab38	func_0031ab38	_ZN2dk11SpriteImageD1Ev
0031e8e0	func_0031e8e0	_ZN4SQEX4CDev6Engine2Sd6Driver3PS39FilterPS316UpdateParametersEv
0031f910	func_0031f910	_ZN2YS12WINDOW_OBJ2D7destroyEv
0031f968	func_0031f968	_ZN2YS12WINDOW_OBJ2DD1Ev
0031f9c0	func_0031f9c0	_ZN2YS12WINDOW_OBJ2DD0Ev
0031fb60	func_0031fb60	_ZN2YS11WINDOW_BASE10set_selectEiiii
003206c0	func_003206c0	_ZN2YS14PLAYER_COMMANDD1Ev
_ZN2Tz5Pause11PauseThreadEP4TASK	002584c8	(build resolves src/tozawa/gumi_pause.cpp to it; needs investigation)
