ee_addr	ppc_addr	size	class	cov_fuzzy	status	fuzzy	err	notes	constraints
001a92d8	00467394	120	branchy	98.33	near	43.51		dropped:ErrorPrintfx4;dropped:ErrorRaisex2;arity-pad:func_001a9218;globals:3ppc/0ps2;gdims:__LNst__ZN2YS7OBJDATA3setEjPKNS_8OBJENTRYE_0;unmapped-global:__LNst__ZN2YS7OBJDATA3setEjPKNS_8OBJENTRYE_0;gdims:__LNst__ZN2YS7OBJDATA4_setEv_3;unmapped-global:__LNst__ZN2YS7OBJDATA4_setEv_3;unmapped-global:LS_10_LV_1	
001a93b0	0046753c	56	straight	98.21	near	42.91		arity-pad:func_001a9218	
001a9458	00467654	204	loop	69.92	near	69.92		this-pad:func_001a97b8;this-pad:func_0017ebc8;this-pad:func_00168b38	
001a9560	00467790	500	loop	60.22	near	40.22		this-pad:func_00168b38;this-pad:func_001dddd0;this-pad:func_001de168	
001a9970	0044ebf8	184	float	75.12	near	61.72		positional:get_max_size->00192990;this-pad:func_00192990;arity-pad:func_001923c8;globals:0ppc/1ps2;shift:YS::MESSAGEDRAW.Style@0x24+16	YS::MESSAGEDRAW|Style|24|28|38
001a9ae8	0044ef90	312	float	64.02	near	32.04		stack-locals:1;this-pad:func_00192f78;this-pad:func_001a9a28;this-pad:func_00192a80;this-pad:func_001aa850;arity-pad:func_001a9c20;this-pad:func_001aa980;this-pad:func_001b7f30;globals:3ppc/1ps2;unmapped-global:s_frameTime;unmapped-global:0x745038;fix-assign-cast;fix-assign-cast;fix-assign-cast;static-unmapped	
001a9c20	0044e520	1156	float	65.96	compile	0.0	001a9c20.cpp:389: parse error	stack-locals:1;positional:make_icon_packet->001aa6f0;positional:GetIconWidth->001aa940;this-pad:func_00192818;this-pad:func_00192440;this-pad:func_001aa6f0;this-pad:func_00192f98;this-pad:func_00192388;this-pad:func_00192fb8;this-pad:func_001aa310;this-pad:func_00192498;this-pad:func_00192450;arity-pad:func_001aa0a8;globals:1ppc/3ps2	
001aa0a8	0044e128	616	float	72.71	compile	0.0	001aa0a8.cpp:237: `const struct	positional:make_packet->001aa8a8;positional:make_packet_italic->00313bc0;positional:get_width->001aa8f0;this-pad:func_00192fb8;this-pad:func_001aa310;this-pad:func_001aa8a8;this-pad:func_00313bc0;this-pad:func_001aa8f0;globals:3ppc/4ps2;gdims:OFF	
001aa388	0044de7c	460	float	88.40	near	33.32		positional:get_page_size->00192940;this-pad:func_00192940;this-pad:func_00192440;this-pad:func_00192498;this-pad:func_00192388;globals:0ppc/1ps2	YS::MESSAGEDRAW|Flag|0|0|1c;YS::MESSAGEDRAW|Time|1c|1c|20
001aa7f0	0044ef04	92	straight	91.30	near	61.96		this-pad:func_00192f78;this-pad:func_001a9a28;globals:1ppc/0ps2;unmapped-global:0x74ce60;fix-assign-cast;fix-assign-cast;fix-assign-cast;static-unmapped	YS::MESSAGEDRAW::ENV|Packet|40|4c|40
001aa940	0044d788	64	straight	46.25	compile	0.0	001aa940.cpp:121: `struct	stack-locals:2;positional:_get_page_size->001ab598;arity-pad:func_001ab598;globals:1ppc/0ps2;unmapped-global:result	
