ee_addr	ppc_addr	size	class	cov_fuzzy	status	fuzzy	err	notes	constraints
00102180	00039b18	76	loop	61.47	near	41.05		gvote:ExecMode->0038aa40	
00102528	000405e8	204	loop	77.61	near	35.24			
001025f8	00040964	116	branchy	85.83	near	47.11		unmapped-call:disposeFiber;dropped:disposeFiberx1	
00102688	00040e2c	168	loop	86.93	near	50.95		positional:_unlink->001025f8;arity-pad:func_001025f8;globals:1ppc/0ps2;unmapped-global:value;static-unmapped;variant:no_dims	
00102750	00040f68	56	straight	98.57	near	81.71		arity-pad:func_00102688	TASK_MANAGER|TaskList|8|c|4
00102788	000406f8	140	straight	90.14	near	50.98		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;arity-pad:func_00102528;globals:3ppc/0ps2;gdims:__LNst__ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE_0;unmapped-global:__LNst__ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE_0;gdims:__LNst__ZN4TASK5sleepEi_3;unmapped-global:__LNst__ZN4TASK5sleepEi_3;gdims:LS_45_LV_6;unmapped-global:LS_45_LV_6	
00102818	00040830	152	straight	84.87	near	60.59		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;arity-pad:func_00102788;globals:3ppc/0ps2;gdims:__LNst__ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE_0;unmapped-global:__LNst__ZN12TASK_MANAGER11create_taskEiiPFvP4TASKE_0;gdims:__LNst__ZN4TASK5sleepEi_3;unmapped-global:__LNst__ZN4TASK5sleepEi_3;gdims:LS_47_LV_8;unmapped-global:LS_47_LV_8	
001028b0	00040ad4	312	loop	92.37	near	43.94		synth-fields:7;simmap:exec->00102350;positional:_unlink->001025f8;dropped:ErrorPrintfx1;dropped:ErrorRaisex1;this-pad:func_00102350;arity-pad:func_001025f8;globals:6ppc/1ps2;unmapped-global:CurrentTask;unmapped-global:Config;unmapped-global:__LNst__ZN12TASK_MANAGER11masked_execEii_0;unmapped-global:__LNst__ZN4TASK5sleepEi_3;unmapped-global:LS_61_LV_9;static-unmapped;variant:no_dims	
00102bd8	00038f5c	60	straight	79.00	near	27.8		globals:5ppc/4ps2;unmapped-global:0x792110;static-unmapped;variant:no_gvote	
001031d0	0003cdd0	456	branchy	95.92	near	30.69		dropped:ErrorPrintfx10;dropped:ErrorRaisex4;dropped:_printfx2;gvote:s_type->003a6a50;gvote:m_SetAllocator->0032ba30;gvote:m_MenuRunning->0032ba28;gvote:s_ReserveType->0032ba20;gvote:s_isPauseDisable->0032ba1c;globals:13ppc/7ps2;gdims:s_MenuTypeLst;unmapped-global:m_GMode;unmapped-global:Allocator;unmapped-global:ObjAllocator;unmapped-global:m_MapJump;gdims:__LNst__ZN4MENU7setTypeEi_3;unmapped-global:__LNst__ZN4MENU7setTypeEi_3;gdims:__LNst__ZN4MENU6EnsureEP4TASK_0;unmapped-global:__LNst__ZN4MENU6EnsureEP4TASK_0;fix-arity:func_00253180;static-unmapped	
00103590	0003bfd8	316	branchy	77.51	near	0.39		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;dropped:_printfx2;gvote:Allocator->0032ba14;gvote:m_GMode->0032ba24;gvote:ObjAllocator->0032ba18;gvote:0x84cbe0->01f18014;gvote:m_SetAllocator->0032ba30;globals:10ppc/7ps2;gdims:__LNst__ZN4MENU7setTypeEi_3;gdims:__LNst__ZN4MENU15CreateAllocatorEiPN2kn15MemoryAllocatorE_1;unmapped-global:__LNst__ZN4MENU15CreateAllocatorEiPN2kn15MemoryAllocatorE_1;gdims:__LNst__ZN4MENU15CreateAllocatorEiPN2kn15MemoryAllocatorE_2;unmapped-global:__LNst__ZN4MENU15CreateAllocatorEiPN2kn15MemoryAllocatorE_2;gdims:LS_41_LV_4;unmapped-global:LS_41_LV_4	
001036d0	0003c15c	120	branchy	82.45	near	63.18		gvote:0x84cbe0->01f18014;gvote:Allocator->0032ba14;gvote:ObjAllocator->0032ba18;gvote:m_SetAllocator->0032ba30	
001037f8	0003bca8	512	branchy	86.48	near	38.71		synth-fields:1;simmap:GetAllocator->00102e90;positional:ErrorPrintf->00103ea0;positional:ErrorRaise->0023ed90;positional:PushEnable->0023fb00;positional:getGumiMenuAllocator->00103c70;positional:Init->00103e78;positional:start->00102080;this-pad:func_00102080;this-pad:func_001024a8;gvote:m_GMode->0032ba24;gvote:Mode->0032b968;gvote:s_type->003a6a50;variant:no_dims	
00103ca0	0003c960	392	branchy	38.73	near	21.93		stack-locals:1;synth-fields:6;positional:GetArea->00103c70;dropped:ErrorPrintfx3;dropped:ErrorRaisex1;arity-pad:func_00103c70;this-pad:func_0014aa58;gvote:m_MapJump->0032ba2c;gvote:m_GMode->0032ba24;fix-arity:func_00103c70	
00104108	0003a27c	132	branchy	85.91	near	32.45		simmap:gumiToWorldMap->00105fc8;dropped:ErrorPrintfx1;dropped:ErrorRaisex1;this-pad:func_0014aa58;globals:4ppc/0ps2;unmapped-global:m_PauseParam;gdims:__LNst__ZN10GUMIBATTLE13SetPauseParamEcccPFvvE_1;unmapped-global:__LNst__ZN10GUMIBATTLE13SetPauseParamEcccPFvvE_1;gdims:__LNst__Z22getGumiBattleMissionLvv_0;unmapped-global:__LNst__Z22getGumiBattleMissionLvv_0;gdims:LS_23_LV_1;unmapped-global:LS_23_LV_1;static-unmapped	
001043e8	0003acd0	264	loop	94.63	near	51.64		positional:entry->00168548;dropped:_printfx2;globals:9ppc/7ps2;gdims:SELECT_SHIP_FLAG;gdims:__LNst__Z21GetGumiShipPlanBufferi_0;unmapped-global:__LNst__Z21GetGumiShipPlanBufferi_0;gdims:__LNst__ZN8GUMIMENU5StartEP4TASK_1;unmapped-global:__LNst__ZN8GUMIMENU5StartEP4TASK_1	
00104a48	00041d00	628	loop	59.58	near	22.42		stack-locals:1;unmapped-call:getPlayTime;unmapped-call:IsSkipArea;dropped:IsSkipAreax1;dropped:getPlayTimex1;dropped:_printfx2;this-pad:func_0019ef70;this-pad:func_001051b8;arity-pad:func_00102448;this-pad:func_0019f070;this-pad:func_00102688;this-pad:func_001052a8;globals:15ppc/7ps2;unmapped-global:Allocator;unmapped-global:SkipArea;unmapped-global:IsSkipping;unmapped-global:Mode;unmapped-global:0x9060f8;unmapped-global:SaveRam;gdims:__LNst__ZN4AREA7MapJumpERS_jibi_3;unmapped-global:__LNst__ZN4AREA7MapJumpERS_jibi_3;gdims:__LNst__ZN4AREA10InitThreadEP4TASK_0;unmapped-global:__LNst__ZN4AREA10InitThreadEP4TASK_0;fix-arity:func_002b9f28;static-unmapped;variant:no_gvote	
00104f58	00041444	352	branchy	55.52	near	0.0		dropped:ErrorPrintfx2;dropped:_printfx2;dropped:ErrorRaisex2;arity-pad:func_001051b8;this-pad:func_00102788;this-pad:func_001c8d80;gvote:TaskMapJump->0032bb20;gvote:SkipArea->003a7b08;globals:12ppc/9ps2;gdims:__LNst__ZN4AREA7MapJumpERS_jibi_1;gdims:__LNst__ZN4AREA7MapJumpERS_jibi_3;unmapped-global:__LNst__ZN4AREA7MapJumpERS_jibi_3;gdims:__LNst__ZN4AREA7MapJumpERS_jibi_4;unmapped-global:__LNst__ZN4AREA7MapJumpERS_jibi_4;gdims:__LNst__ZN4AREA7MapJumpERS_jibi_6;unmapped-global:__LNst__ZN4AREA7MapJumpERS_jibi_6	
00105c68	0003e5ec	160	loop	94.33	near	53.65		positional:entry->001688b8;dropped:ErrorPrintfx1;dropped:ErrorRaisex1;dropped:_printfx2;this-pad:func_00102448;gvote:Mode->0032b968;globals:6ppc/3ps2;gdims:__LNst__ZN4SHOP5StartEP4TASK_1;gdims:__LNst__ZN4SHOP5StartEP4TASK_2;unmapped-global:__LNst__ZN4SHOP5StartEP4TASK_2;gdims:_ZZN9GAME_MODE5sleepEvEs_0;unmapped-global:_ZZN9GAME_MODE5sleepEvEs_0;gdims:_ZZN9GAME_MODE5sleepEvEs_2;unmapped-global:_ZZN9GAME_MODE5sleepEvEs_2	
00105fc8	0003f898	124	straight	63.59	near	25.32		positional:getGumiStageEntrance->00105f98	
00106a18	000da2fc	72	branchy	68.70	near	69.0		gvote:cameraNumber->0033cc40;gvote:0xa1bd70->003a7b70;gvote:cameraMulti->0033cc44;gvote:0xa1c090->003a7d70	
00106a60	000da3a0	80	branchy	99.70	near	99.8		gvote:cameraNumber->0033cc40;gvote:0xa1c3b0->003a8090;gvote:cameraMulti->0033cc44;gvote:0xa1c4d0->003a7f70	
00106af0	000d8f18	280	float	54.92	near	45.18		positional:unit->0011b6a8;this-pad:func_0011b6a8;globals:0ppc/2ps2	kn::Projection|clipFar_|70|70|6c
00106d40	000d9370	168	float	9.84	near	4.04		arity-pad:func_00106c08;globals:3ppc/1ps2;gdims:camera;unmapped-global:g_NearHosei;unmapped-global:g_FarHosei;static-unmapped	
00106de8	000d9600	324	float	63.21	near	12.57		globals:0ppc/3ps2	Axa::FMATRIX44|v1|10|1c|14
00106f40	000d9748	168	float	62.33	near	14.76		globals:0ppc/3ps2	Axa::FMATRIX44|v1|10|18|8
00106fe8	000d9248	180	float	85.71	compile	0.0	00106fe8.cpp:103: aggregate	globals:0ppc/3ps2;fix-arg:func_00106fe8:1;fix-arg:func_00106fe8:1;fix-arity:func_00106fe8;fix-arity:func_00106fe8	
001072d0	000d9904	48	branchy	75.25	near	31.26		unmapped-call:operator_;dropped:operator_x0	
00107300	000d9964	48	float	74.83	near	29.7		unmapped-call:operator_;dropped:operator_x0	
00107368	000d9c38	28	branchy	97.00	near	37.78		unmapped-call:operator_;dropped:operator_x0	
00107478	000d9e54	28	branchy	97.00	near	37.78		unmapped-call:operator_;dropped:operator_x0	
00107888	000da42c	516	float	49.01	near	27.31		unmapped-call:operator_;unmapped-call:SetListenerPosition;dropped:operator_x0;dropped:SetListenerPositionx1;this-pad:func_00106c08;globals:14ppc/5ps2;gdims:camera;unmapped-global:0xa1be80;unmapped-global:0xa1bec0;unmapped-global:0xa1c4d0;unmapped-global:0xa1c3c0;unmapped-global:0xa1c400;unmapped-global:0xa1c410;unmapped-global:0xa1c420;unmapped-global:0xa1c3b0;gdims:projection;unmapped-global:projection;static-unmapped;variant:no_gvote	
00107a90	0019b550	656	float	97.82	compile	0.0	00107a90.cpp:3619: `Axa'	stack-locals:1;positional:GetPlayer->00106998;positional:GetScroll->001069b8;positional:unit->001069f8;positional:is_dead->00106d40;positional:is_rebirth->00106d40;unmapped-call:GetPlane;unmapped-call:get_mode;unmapped-call:is_auto_rotation;unmapped-call:is_rotation_clockwise;unmapped-call:operator__;unmapped-call:operator_;unmapped-call:applyMatrixXYZw1;unmapped-call:calc_from_distance;unmapped-call:normalize;dropped:GetPlanex5;dropped:normalizex1;dropped:get_modex2;dropped:calc_from_distancex1;dropped:operator__x3;dropped:operator_x0;dropped:applyMatrixXYZw1x1;dropped:is_rotation_clockwisex1;dropped:is_auto_rotationx2;this-pad:func_001069f8;this-pad:func_00106d40;this-pad:func_0011b720;this-pad:func_00106de8;this-pad:func_00107330;this-pad:func_00107340;this-pad:func_00107350;this-pad:func_00107360;gvote:projection->003a7b70;globals:4ppc/17ps2;gdims:projection;gdims:camera	
00107d20	00124178	776	loop	83.44	compile	0.0	00107d20.cpp: In function `void;    e3_00107d20(kn_ModelObj*, kn_ProjectionCamera*, kn_DrawParam*, short int*,;    kn_ProjectionCamera*, kn_ProjectionCamera*, dk_ObjDrawList**, int)':; 00107d20.cpp:70	stack-locals:2;synth-fields:25;positional:getContext->00106ab8;positional:unit->00106ab8;positional:Projection->00106ab8;positional:shadowEnv->00106ab8;positional:DrawParam->001070c8;positional:operator__->001070c8;positional:getModel->001070c8;positional:openGsRegisterPacket->001070c8;positional:setGsRegisterPacket->00106ab8;positional:closeGsRegisterPacket->00106ab8;positional:shadowTextureSoft->001070c8;positional:setVU1DrawDefaultEnv->001070c8;unmapped-call:pushDisplayFlag;unmapped-call:popDisplayFlag;dropped:pushDisplayFlagx1;dropped:popDisplayFlagx1;arity-pad:func_00106ab8;arity-pad:func_001070c8;globals:10ppc/6ps2;unmapped-global:GS_DEF_XYOFFSET;unmapped-global:GS_DEF_SCISSOR;unmapped-global:SHADOW_L_TEX0_SOFT;unmapped-global:SHADOW_L_TEX0;fix-arity:func_00106ab8;fix-arity:func_00106ab8;fix-arity:func_00106ab8;fix-arity:func_00106ab8;fix-arity:func_00106ab8;fix-arity:func_00106ab8;fix-arity:func_001070c8	
00108730	00116770	512	float	1.24	near	0.0		positional:addContPacket->00133bb8;positional:getNear->001070a8;this-pad:func_00133bb8;this-pad:func_001070a8;globals:11ppc/6ps2;gdims:buffer;gdims:tag;unmapped-global:phase_;unmapped-global:fogGradients_;unmapped-global:fogIntercepts_;gdims:fogLimiter_;unmapped-global:fogLimiter_;unmapped-global:g_g_g_dummy_counter;static-unmapped	kn::DrawParam|rgba|4|4|0
00108930	00116a08	84	loop	76.33	near	55.24			
001094e0	001188a8	396	switch	42.12	near	12.38		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;globals:5ppc/1ps2;gdims:_ASR;unmapped-global:vram_page;unmapped-global:__LNst__ZN2kn7VU1Draw9checkVRAMEPNS_15SendImagePacketEPv_0;gdims:__LNst__ZN2kn7VU1Draw13flush_RegularEPNS_9DrawQueueE_3;unmapped-global:__LNst__ZN2kn7VU1Draw13flush_RegularEPNS_9DrawQueueE_3;gdims:LS_205_LV_64;unmapped-global:LS_205_LV_64;static-unmapped	
001097e8	00118e48	1092	switch	53.25	near	40.75		stack-locals:1;synth-fields:4;simmap:SendImageStruct->00108398;simmap:SendImageStruct->00108398;positional:addGsDirectPacket->001337f0;positional:addRetPacket->001337a0;positional:addContPacket->00133848;dropped:ErrorPrintfx1;dropped:ErrorRaisex1;arity-pad:func_001337f0;this-pad:func_00108398;gvote:LS_214_LV_70->0036a290;globals:3ppc/2ps2;gdims:__LNst__ZN2kn7VU1Draw13flush_RegularEPNS_9DrawQueueE_3;unmapped-global:__LNst__ZN2kn7VU1Draw13flush_RegularEPNS_9DrawQueueE_3;gdims:LS_214_LV_70;fix-arity:func_001337f0;fix-anonidx:Axa_GIF_SET_TAG128_anon_uni_GSRegister_h_180.field2;fix-anonidx:Axa_GIF_SET_TAG128_anon_uni_GSRegister_h_180.field2;fix-arity:func_001337f0;fix-anonidx:Axa_GIF_SET_TAG128_anon_uni_GSRegister_h_180.field2;fix-anonidx:Axa_GIF_SET_TAG128_anon_uni_GSRegister_h_180.field2	
0010c078	000e24f4	1792	branchy	91.44	near	40.23		synth-fields:1;simmap:Auron->00114af8;simmap:Mulan->00114ea0;simmap:Jack->00115350;simmap:Riku->00115738;simmap:Pin->00114c30;simmap:Peterpan->0011a2a8;simmap:Tink->0011a490;simmap:FriendPersonality->00113648;positional:__ZN2YS6FRIENDC2EPKNS_8OBJENTRYERKN2kn7FVectorEf->0017d968;positional:ErrorPrintf->0010eee8;positional:ErrorRaise->00112720;positional:Aladdin->001148d0;positional:Goofy->001147b8;positional:Tron->001151f8;positional:Stitch->00114ff8;this-pad:func_00190128;this-pad:func_0016a070;this-pad:func_00114af8;this-pad:func_00114ea0;this-pad:func_001148d0;this-pad:func_00114fb0;this-pad:func_00114770;this-pad:func_00115350;this-pad:func_00114be8;this-pad:func_001147b8;this-pad:func_00114e58;this-pad:func_001151f8;this-pad:func_00115738;this-pad:func_00114c30;this-pad:func_00114ff8;this-pad:func_00119bd8;this-pad:func_0011a2a8;this-pad:func_0011a490;this-pad:func_0011a6b0;this-pad:func_00113648;this-pad:func_001136b8;gvote:LV_3->0036a440;gvote:LV_4->0036a448;gvote:LV_5->0036a450;globals:11ppc/5ps2;unmapped-global:__LNst__ZN2kn6FriendC1EPKN2YS8OBJENTRYERKNS_7FVectorEf_0;unmapped-global:__LNst__ZN2kn6Friend19_OVR_getBattleStyleEv_3;unmapped-global:friend_param_data;unmapped-global:0x7ef280;unmapped-global:DAT_007ef20c;unmapped-global:DAT_007ef214;static-unmapped;variant:no_dims	
0010c7f0	000dcb9c	56	straight	98.57	near	91.93		simmap:_OVR_initialize->0017dbb8;this-pad:func_0017dbb8	
0010c940	000dd848	180	float	67.73	near	62.51		stack-locals:1;arity-pad:func_0017c4c8;arity-pad:func_0017f488;fix-arg:func_0017c4c8:2;variant:no_thispad	
0010c9f8	00665c28	208	float	65.59	near	22.34		positional:GetMenuObj->002f8960;positional:prepare_hop->002f87c0;arity-pad:func_002f87c0;arity-pad:func_0017f488;globals:3ppc/1ps2;unmapped-global:ActionHop;unmapped-global:v0;fix-arg:func_002f87c0:2;static-unmapped;variant:no_thispad	
0010cbc8	000e51e0	152	branchy	88.63	near	99.97		synth-fields:2;this-pad:func_00190878;this-pad:func_00176dd8	kn::Friend|command_|c40|c4c|b78
0010ce78	000e35c0	120	branchy	71.47	near	9.63		synth-fields:1;this-pad:func_00190140;gvote:playerTarget->003417b0	
0010d918	000e4644	296	loop	42.47	near	42.47		this-pad:func_00190128;this-pad:func_00190878;this-pad:func_00190730;this-pad:func_001901c0;gvote:playerAttackerNum->003417a8	
0010df18	000e1870	536	branchy	72.82	near	7.38		stack-locals:1;synth-fields:2;this-pad:func_00190128;this-pad:func_00190140;this-pad:func_00190680;gvote:func_tbl->00345b28;globals:4ppc/2ps2;unmapped-global:DAT_007f55ac;unmapped-global:friend_param_data;static-unmapped;variant:no_dims	
0010e130	000e1c50	568	float	75.68	compile	0.0	0010e130.cpp:2426: ISO C++	stack-locals:1;synth-fields:2;this-pad:func_0016c028;this-pad:func_00190128;this-pad:func_00190878;this-pad:func_0010b620;this-pad:func_00114370;arity-pad:func_0010d188;arity-pad:func_0010df18;this-pad:func_00190140;this-pad:func_001906f0;gvote:partyChara->00341708;globals:1ppc/3ps2;gdims:partyChara	
0010f6f8	000e33f4	76	float	68.16	near	68.16			
0010f748	000e48a8	104	branchy	95.38	near	76.1		this-pad:func_0016a070	
0010f7b0	000e47a8	208	loop	93.56	near	88.55		this-pad:func_0016a070;this-pad:func_00188fe0	
0010f9f0	000e50e4	52	branchy	98.77	near	49.06		unmapped-call:operator_;dropped:operator_x0	kn::Friend|command_|c40|c50|b7c
0010fb10	000df554	912	loop	53.29	near	17.34		synth-fields:1;simmap:getActionTblSize->001137e0;simmap:getActionTbl->001137e8;this-pad:func_001137e0;this-pad:func_001137e8;this-pad:func_00190128;this-pad:func_001a1de0;globals:5ppc/4ps2;gdims:action_entry;unmapped-global:0xa1ceb0;static-unmapped	
0010ff08	000dfd98	1524	float	41.86	compile	0.0	0010ff08.cpp:3116: ISO C++	stack-locals:1;synth-fields:2;simmap:getActionTblSize->001137e0;simmap:getActionTbl->001137e8;simmap:getHopRatio->001142b0;simmap:getHopParamNum->001137f0;simmap:getHopParam->00113808;positional:canHop->0010f8d0;positional:prepare_hop->0010f600;arity-pad:func_0010fb10;this-pad:func_001137e0;this-pad:func_001137e8;this-pad:func_00190128;arity-pad:func_0010f8d0;this-pad:func_001142b0;this-pad:func_001137f0;this-pad:func_00113808;this-pad:func_0010f600;this-pad:func_0017f488;arity-pad:func_00110630;this-pad:func_0016a070;this-pad:func_00188fe0;this-pad:func_001a1de0;this-pad:func_0016b010;globals:4ppc/3ps2;gdims:action_entry;unmapped-global:0xa1d224;fix-arg:func_0010f600:2	
00111060	000dd6f0	132	float	70.89	near	31.7		unmapped-call:searchWarpPoint;dropped:searchWarpPointx1;arity-pad:func_0016adc8;arity-pad:func_00176a60;fix-arg:func_00176a60:1;variant:no_thispad	kn::Friend|command_|c40|c50|b7c;kn::Friend|inertia_|c30|c34|b60;kn::Friend|command_|c40|c50|b7c
001112a8	000e1f18	628	float	64.29	near	37.55		simmap:adjustSpeed->001106a0;positional:getMagicRatio->00111278;positional:checkEmergencyTarget->0010f8d0;positional:operator_->002f8870;this-pad:func_0016bd60;arity-pad:func_0010e130;this-pad:func_00111278;arity-pad:func_0010f8d0;arity-pad:func_0010fb10;arity-pad:func_0010ff08;arity-pad:func_00110500;arity-pad:func_001106a0;gvote:partyChara->00341708;globals:1ppc/3ps2;gdims:partyChara	kn::Friend|command_|c40|c40|b6c
00111e50	000e0f50	252	loop	81.83	near	54.6		stack-locals:2;this-pad:func_001136b0;gvote:partyChara->00341708;gvote:Player->0034e948;gdims:partyChara	
001125d8	000e5288	324	branchy	86.45	near	12.78		synth-fields:2;this-pad:func_00190128;arity-pad:func_0010d918;this-pad:func_00190140;gvote:playerTarget->003417b0	
001129d8	000e5400	124	branchy	80.10	near	14.76		positional:ErrorPrintf->001128d0;positional:ErrorRaise->001128d0;globals:3ppc/2ps2;unmapped-global:LS_475_LV_128;fix-arity:func_001128d0;static-unmapped;variant:no_dims	
00112d28	000ddd9c	104	branchy	76.48	near	49.94		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;arity-pad:func_0019ba60;globals:3ppc/0ps2;gdims:_ZZN2YS8TOBTLOBJEPvEs_0;unmapped-global:_ZZN2YS8TOBTLOBJEPvEs_0;gdims:_ZZN2YS8TOBTLOBJEPvEs_2;unmapped-global:_ZZN2YS8TOBTLOBJEPvEs_2;unmapped-global:LV_2	
00113338	000e608c	188	straight	87.45	near	76.9		this-pad:func_0018d050;this-pad:func_0018f028;globals:1ppc/0ps2;unmapped-global:result	
001136b8	000e6b68	292	loop	75.53	near	41.11			
00113848	000e6d88	324	float	77.21	compile	0.0	00113848.cpp:2431: `struct	stack-locals:1;this-pad:func_0010f8c0;this-pad:func_0010f880;this-pad:func_0010cc80;this-pad:func_0010cc70;this-pad:func_0016b010;this-pad:func_0016af58;this-pad:func_0010f9f0;this-pad:func_0010f8e0;this-pad:func_0010f8a8;this-pad:func_0010f9e0;this-pad:func_0010ef48;globals:1ppc/0ps2;unmapped-global:movement	
00113fb0	000e7680	288	branchy	67.53	near	63.85		this-pad:func_001883d8;this-pad:func_00188758;this-pad:func_0010f448;this-pad:func_00188170	
00114438	000e7b90	88	loop	55.83	near	55.83			
00114490	000e7bf8	88	loop	46.77	near	55.83			
001144e8	000e7c60	104	loop	68.11	near	0.0			
001169e8	001084b0	796	float	82.29	near	16.62		globals:2ppc/16ps2;gdims:LS_100_pos_tbl;gdims:LS_101_pos_tbl	kn::Stitch|work_|20|28|10;kn::Stitch|work_|20|30|18
00117808	00107dd4	176	float	81.77	compile	0.0	00117808.cpp:2544: pointer	stack-locals:1;unmapped-call:operator_;dropped:operator_x0;arity-pad:func_00117588;this-pad:func_00194648;this-pad:func_0017ff68;globals:0ppc/2ps2	
00117dd8	00109038	192	loop	97.76	near	31.51		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;this-pad:func_001dc920;this-pad:func_0018f028;globals:5ppc/1ps2;unmapped-global:stitchInstance;gdims:__LNst__ZN2kn6Stitch16free_effect_workEi_0;unmapped-global:__LNst__ZN2kn6Stitch16free_effect_workEi_0;gdims:__LNst__ZN2kn6Friend11stitch_execEv_3;unmapped-global:__LNst__ZN2kn6Friend11stitch_execEv_3;gdims:LS_110_LV_20;unmapped-global:LS_110_LV_20;static-unmapped	kn::Stitch|work_|20|28|18;kn::Stitch|work_|20|28|0
00118d10	0010c520	140	float	78.94	near	71.51		arity-pad:func_001111c8;this-pad:func_0017f540;this-pad:func_001144e8;this-pad:func_0010eed8;this-pad:func_00112740;this-pad:func_00112730;globals:1ppc/3ps2	
00118da0	00108968	608	float	40.69	compile	0.0	00118da0.cpp:3175: ISO C++	this-pad:func_0010c778;this-pad:func_00190128;this-pad:func_00190140;this-pad:func_001901c0;this-pad:func_00135c88;this-pad:func_00135bd0;this-pad:func_00190730;this-pad:func_00135c80;this-pad:func_0019c410	
00119830	0010c5f0	732	float	59.29	compile	0.0	00119830.cpp: In function `void;    e3_00119830(kn_Stitch*, int)':; 00119830.cpp:3340: warning: invalid;    conversion from `void*' to `YS_PARTY*'; 00119830.cpp:3349: warning: invalid;    conversion f	stack-locals:1;positional:operator_->00117b20;dropped:ErrorPrintfx4;dropped:ErrorRaisex4;arity-pad:func_00117970;arity-pad:func_00190140;this-pad:func_001901c0;arity-pad:func_00118da0;this-pad:func_00107368;this-pad:func_00113338;globals:3ppc/2ps2;gdims:__LNst__ZN2kn6Stitch16free_effect_workEi_0;gdims:__LNst__ZN2kn6Friend11stitch_execEv_3;gdims:LS_142_LV_42;unmapped-global:LS_142_LV_42	
00119d70	000e8fc0	240	float	79.82	near	60.25		this-pad:func_00190128;this-pad:func_00190140;this-pad:func_00190878;this-pad:func_0010cbc8;globals:0ppc/1ps2	kn::FriendPersonality|actionTbl_|10|10|18
00119e60	000e8d90	168	loop	77.81	near	43.04		unmapped-call:ChangeGenieForm;dropped:ChangeGenieFormx1;this-pad:func_00194108;this-pad:func_001940f0;gdims:command	
0011a900	00133504	20	straight	21.67	near	21.67			
0011a918	00133530	28	branchy	97.00	near	37.78		unmapped-call:operator_;dropped:operator_x0	
0011ac10	00132808	1064	loop	38.79	near	0.0		synth-fields:1;simmap:calc_center->0011a858;positional:operator_->00167f18;this-pad:func_0010c778;this-pad:func_00190128;this-pad:func_0019ca90;this-pad:func_00190730;this-pad:func_001901c0;this-pad:func_0019c410;this-pad:func_00135c88;this-pad:func_00135bd0;arity-pad:func_00190140;this-pad:func_00135c80;this-pad:func_00190878;this-pad:func_00190388;this-pad:func_0011a858;this-pad:func_0013e4b8;fix-arity:func_0019ca90;fix-voidret:func_0019ca90	kn::ChickenLittle|work_|20|40|c
0011b038	00132cf8	108	float	68.04	near	45.26		stack-locals:1;arity-pad:func_0011ac10;this-pad:func_0016aef0	
0011b0a8	00133108	424	float	89.85	compile	0.0	0011b0a8.cpp:3893: default	stack-locals:1;synth-fields:1;this-pad:func_001143d8;this-pad:func_0010c778;this-pad:func_00135aa0;this-pad:func_001c0d38;this-pad:func_0016ace0;this-pad:func_00198860;this-pad:func_0013fd10;this-pad:func_0016bd60;this-pad:func_0014eb48;globals:0ppc/2ps2;fix-arg:func_0013fd10:3;fix-arity:func_0013fd10;fix-voidret:func_0013fd10;fix-arg:func_0013fd10:3;fix-arg:func_0013fd10:3;fix-arg:func_0013fd10:3;fix-arg:func_0013fd10:3;fix-arg:func_0013fd10:3	
0011b250	00133328	396	float	74.18	near	88.56		synth-fields:1;this-pad:func_0010c778;this-pad:func_00135aa0;this-pad:func_001c0e60;this-pad:func_00198970;this-pad:func_0013e4b8;this-pad:func_0013fd10;this-pad:func_0019cc20;this-pad:func_0016bd60;gvote:Flag->0034f240;globals:1ppc/2ps2	
0011b6a8	000dc24c	48	straight	38.57	near	38.57		globals:0ppc/1ps2	
0011c138	000ed7e0	16	straight	35.00	near	20.0			
0011c148	000ed82c	200	float	18.62	near	32.39		dropped:ErrorPrintfx1;dropped:ErrorRaisex1;globals:3ppc/0ps2;gdims:__LNst__ZN2kn5Model9getParentEi_1;unmapped-global:__LNst__ZN2kn5Model9getParentEi_1;gdims:__LNst__ZN2kn5Model9getParentEi_3;unmapped-global:__LNst__ZN2kn5Model9getParentEi_3;gdims:LS_73_LV_4;unmapped-global:LS_73_LV_4	
0011c8f8	000edd30	292	loop	79.89	near	85.15		simmap:swap->00132cb8;positional:getType->00132338;this-pad:func_00132338;this-pad:func_00132cb8;this-pad:func_00132350	
0011dd08	000eefc0	380	float	64.81	near	11.88		globals:0ppc/1ps2	
0011e260	000f033c	240	loop	85.64	near	57.38		simmap:getTextureDataEnd->00132018;simmap:getTextureDataEnd->00132018;simmap:getTextureDataEnd->00132018;simmap:getTextureDataEnd->00132018;simmap:synchronizeAnimation->0011e600;positional:getTextureData->00132068;this-pad:func_00132350;arity-pad:func_0011e450;arity-pad:func_0011e600;globals:1ppc/0ps2;unmapped-global:texture;static-unmapped	
