ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
0022d098	320	float	near	m2c	71.40	002c6c90	_ZN2sa5EVENT17set_bin_black_fogERNS_13BIN_BLACK_FOGEP4TASK	sa::EVENT::set_bin_black_fog(sa::BIN_BLACK_FOG&, TASK*)		sim-high
00287218	320	loop	near	ghidra	84.24	003b0df8	_ZN2Tz8CmNewFlg17isAbilityHistFormEii	Tz::CmNewFlg::isAbilityHistForm(int, int)		sim-med
0028cc78	320	branchy	near	lift	84.76	00370dd0	_ZN2Tz10MenuCursor6CreateEiiiPNS_6LayoutEiii	Tz::MenuCursor::Create(int, int, int, Tz::Layout*, int, int, int)		high
00103590	316	branchy	near	m2c	77.51	0003bfd8	_ZN4MENU15CreateAllocatorEiPN2kn15MemoryAllocatorE	MENU::CreateAllocator(int, kn::MemoryAllocator*)		high
0018b338	316	float	near	m2c	84.34	004f0670	_ZN2YS3NPC10after_talkEf	YS::NPC::after_talk(float)		high
001bb4f0	316	branchy	near	m2c	91.75	00451ee4	_ZN2YS7MISSION8completeEii	YS::MISSION::complete(int, int)		high
001fe798	316	branchy	near	lift	46.49	005b4c48	pppKeThTp	pppKeThTp		sim-low
0023cc18	316	float	near	lift	80.37	000c1b3c	_ZN2YI6LAYOUT4DrawEv	YI::LAYOUT::Draw()		high
00273228	316	branchy	near	m2c	93.29	0039e228	_ZN2Tz8CmCustom10DrawUpdateEPNS_6SelectEii	Tz::CmCustom::DrawUpdate(Tz::Select*, int, int)		high
0029aac0	316	branchy	near	ghidra	90.64	0033e05c	_ZN2Tz5JmDic8LeaveAllEi	Tz::JmDic::LeaveAll(int)		med
002a10e0	316	branchy	near	lift	79.96	003372d8	_ZN2Tz9JmDiagram12CreateCursorEv	Tz::JmDiagram::CreateCursor()		med
001028b0	312	loop	near	m2c	92.37	00040ad4	_ZN12TASK_MANAGER11masked_execEii	TASK_MANAGER::masked_exec(int, int)		sim-low
00139e00	312	branchy	near	lift	94.85	00065840	_ZN2dk5Obj2D8menuInitEP9ALLOCATORb	dk::Obj2D::menuInit(ALLOCATOR*, bool)		med
00165db8	312	loop	near	ghidra	55.01	0006b540	_ZN2dk6ObjOcc13intersectLineERNS_4LineERN2kn7FVectorERtjjbRPS0_ii	dk::ObjOcc::intersectLine(dk::Line&, kn::FVector&, unsigned short&, unsigned int, unsigned int, bool, dk::ObjOcc*&, int, int)		high
00185468	312	float	near	lift	89.92	004bb468	_ZN2YS6WEAPONC1EPKNS_8OBJENTRYEPNS_5PARTYEiii	YS::WEAPON::WEAPON(YS::OBJENTRY const*, YS::PARTY*, int, int, int)		sim-high
00194468	312	switch	near	m2c	71.40	004697f4	_ZN2YS3OBJ11show_shadowEv	YS::OBJ::show_shadow()		sim-low
00197148	312	float	near	m2c	62.85	00428548	_ZN2YS5EVENT13phase_fadeoutEv	YS::EVENT::phase_fadeout()		med
00197430	312	float	near	m2c	69.13	004280d0	_ZN2YS5EVENT12phase_fadeinEv	YS::EVENT::phase_fadein()		med
001a0ee0	312	float	near	lift	72.47	00497be4	_ZN2YS5SHEET3setEPKNS_10ENEMYPARAME	YS::SHEET::set(YS::ENEMYPARAM const*)		sim-med
001a9ae8	312	float	near	lift	64.02	0044ef90	_ZN2YS11MESSAGEDRAW4drawEiij	YS::MESSAGEDRAW::draw(int, int, unsigned int)		high
001b9db0	312	loop	near	e3	58.26	0046dcbc	_ZN2YS3OBJ8LeaveAllEi	YS::OBJ::LeaveAll(int)		high
001d94f8	312	loop	near	ghidra	83.38	004ad960	_ZN2YS7UNDRESS4ExecENS_6MEMBEREPKS1_	YS::UNDRESS::Exec(YS::MEMBER, YS::MEMBER const*)		sim-low
001dd568	312	float	near	ghidra	82.44	002b0ed4	_ZN3ryj12qsort_effectEPPNS_6EFFECTEPfii	ryj::qsort_effect(ryj::EFFECT**, float*, int, int)		sim-low
001e8048	312	loop	near	m2c	66.92	005a6b34	_Z12pppStartPartP9_pppMngStPxi	pppStartPart(_pppMngSt*, long long*, int)		sim-med
00268b30	312	branchy	near	lift	92.45	0039f658	_ZN2Tz7CmEquip17SetupTitleAbilityEi	Tz::CmEquip::SetupTitleAbility(int)		med
0027c1c0	312	branchy	near	lift	70.44	00391044	_ZN2Tz9CmAbility15ChgEquipAbilityEv	Tz::CmAbility::ChgEquipAbility()		sim-high
002875e8	312	loop	near	lift	98.97	0065f020	_ZN2Tz8Mg2DTronC1Ev	Tz::Mg2DTron::Mg2DTron()		sim-high
002dc850	312	float	near	lift	57.91	0063e70c	_ZN2Ti6MGJump5resetEv	Ti::MGJump::reset()		med
00322790	312	loop	near	m2c	99.13	002e0ea8	_ZN2sa13MUSICAL_INPUT5startEi	sa::MUSICAL_INPUT::start(int)		sim-med
0013a4c8	308	branchy	near	lift	72.45	0005120c	_ZN2dk8Field2DD11readCommandEv	dk::Field2DD::readCommand()		high
001cc220	308	float	near	m2c	36.44	004846c8	_ZN2YS8PRIZE_CA14_OVR_check_getEPNS_11PRIZEEFFECTE	YS::PRIZE_CA::_OVR_check_get(YS::PRIZEEFFECT*)		sim-high
001cd388	308	loop	near	ghidra	30.71	0041ebac	_ZN2YS8CONTINUE4LoadEv	YS::CONTINUE::Load()		sim-med
001e3330	308	float	near	lift	76.77	002abc98	_Z8pppSetUpPv	pppSetUp(void*)		sim-med
001ebcf0	308	float	near	m2c	63.70	005be9a8	pppPointAp	pppPointAp		sim-med
00276c88	308	branchy	near	lift	96.36	002f6f1c	_ZN2Tz6Jiminy10CreateHelpEPKN2YS7MESSAGEEb	Tz::Jiminy::CreateHelp(YS::MESSAGE const*, bool)		sim-high
002a2010	308	loop	near	m2c	84.24	003605b8	_ZN2Tz10JmTreasure4ExitEv	Tz::JmTreasure::Exit()		sim-sandwich
002ac2e8	308	loop	near	lift	75.45	00344444	_ZN2Tz9JmNewInfo11CheckPuzzleEv	Tz::JmNewInfo::CheckPuzzle()		sim-med
