ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
001c97b0	176	float	near	ghidra	66.71	004943c8	_ZN2YS9SACRIFICE9StartPartEif	YS::SACRIFICE::StartPart(int, float)		high
001d1da0	176	float	near	lift	76.48	00454730	_ZN2YS13MISSION_GAUGE3setEf	YS::MISSION_GAUGE::set(float)		high
001ea100	176	float	near	lift	76.04	005c3544	pppVertexApLc	pppVertexApLc		sim-high
00229120	176	branchy	near	lift	93.86	002e30ac	_ZN2sa14MUSICAL_SCORE14initEv	sa::MUSICAL_SCORE1::init()		med
0022d4e8	176	loop	near	ghidra	93.23	002d6e98	_ZN2sa5EVENT11reloadActorERNS_15BIN_CACHE_CLEARE	sa::EVENT::reloadActor(sa::BIN_CACHE_CLEAR&)		high
00252760	176	straight	near	ghidra	82.93	003b9348	_ZN2Tz4ALCA4InitEv	Tz::ALCA::Init()		sim-high
00267408	176	switch	near	m2c	97.73	003b4c08	_ZN2Tz6CmStat9GetSelMsgEi	Tz::CmStat::GetSelMsg(int)		high
0028f6f0	176	branchy	near	lift	93.40	0037ebec	_ZN2Tz7SelHist7FadeOutEi	Tz::SelHist::FadeOut(int)		high
00293e00	176	loop	near	lift	98.64	00340258	_ZN2Tz6JmInfo4InitEP9ALLOCATOR	Tz::JmInfo::Init(ALLOCATOR*)		high
002a8870	176	loop	near	lift	69.91	0034386c	_ZN2Tz10JmMiniGame8isEnableEi	Tz::JmMiniGame::isEnable(int)		high
002aa5b8	176	loop	near	m2c	58.20	00347148	_ZN2Tz9JmNewInfo16GetAlbumWorldIdxEii	Tz::JmNewInfo::GetAlbumWorldIdx(int, int)		med
002abf40	176	loop	near	m2c	58.20	0034acec	_ZN2Tz9JmNewInfo16GetStoryWorldIdxEii	Tz::JmNewInfo::GetStoryWorldIdx(int, int)		med
002dae38	176	float	near	lift	65.06	0065e768	_ZN2Ti18MGHachimitsuGopher7combineEv	Ti::MGHachimitsuGopher::combine()		med
0031e158	176	float	near	ghidra	74.84	006345e8	_ZN2Ti12MG_EHSidecar5resetEv	Ti::MG_EHSidecar::reset()		sim-med
001332e8	172	float	near	lift	79.60	00112f04	_ZN2kn12UVScrollWork4playEf	kn::UVScrollWork::play(float)		sim-low
001519f8	172	float	near	lift	46.16	000a9098	_ZN2dk13MISSION_GAUGE11updateGaugeEv	dk::MISSION_GAUGE::updateGauge()		med
00168410	172	straight	near	ghidra	81.55	0042d66c	_ZN2YS4FILE8ReadBackEPKcPvjtPFvS3_jS3_ES3_	YS::FILE::ReadBack(char const*, void*, unsigned int, unsigned short, void (*)(void*, unsigned int, void*), void*)		sim-med
